strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct,rsi_period,ob_level,os_level,entry_mode
derivative_high_vol,M5,20.0,8.0,2.0,0.05,0.0,1.0,2.0,200,0.7,38.83,3529,32.42,0.7562,99.93,-99.92,1333,33.08,0.8525,80.8,-79.42,0.0963,-19.13,20.5,62.23,38.53,17192,32.86,0.7567,100.0,-100.0,6393,33.49,0.8557,99.95,-99.94,0.099,-0.05,0.06,62.81,,,,
derivative_high_vol,M1,20.0,4.0,4.0,0.05,0.0,1.0,2.0,200,0.7,32.87,22738,33.6,0.5592,100.0,-100.0,7156,33.01,0.6444,100.0,-100.0,0.0852,0.0,0.0,68.53,32.87,110141,33.52,0.5249,100.0,-100.0,35750,33.23,0.6239,100.0,-100.0,0.099,0.0,0.0,67.54,,,,
derivative_high_vol,M5,20.0,4.0,2.0,0.05,0.0,1.0,4.0,200,0.7,38.83,5075,19.25,0.7846,100.0,-100.0,1865,20.38,0.907,89.95,-84.89,0.1224,-10.05,15.11,63.25,38.53,24560,19.22,0.7722,100.0,-100.0,9220,19.92,0.871,100.0,-100.0,0.0988,0.0,0.0,62.46,,,,
derivative_high_vol,M5,20.0,4.0,4.0,0.1,0.0,1.0,4.0,200,0.7,38.83,4559,18.78,0.7612,100.0,-100.0,1689,19.72,0.8696,93.36,-89.71,0.1084,-6.64,10.29,62.95,38.53,22101,19.53,0.7873,100.0,-100.0,8247,20.19,0.8857,100.0,-100.0,0.0984,0.0,0.0,62.68,,,,
derivative_high_vol,M5,20.0,4.0,4.0,0.05,0.0,1.0,4.0,50,0.8,28.57,4603,19.07,0.7762,100.0,-100.0,1269,19.54,0.8377,89.55,-87.88,0.0615,-10.45,12.12,72.43,28.48,22202,19.14,0.7682,100.0,-100.0,6338,20.32,0.866,99.99,-99.99,0.0978,-0.01,0.01,71.45,,,,
derivative_high_vol,M5,20.0,8.0,4.0,0.05,0.0,1.0,4.0,50,0.8,28.57,3366,19.19,0.7822,99.97,-99.95,961,18.83,0.7995,87.36,-85.65,0.0173,-12.61,14.3,71.45,28.48,16310,19.33,0.7775,100.0,-100.0,4688,20.46,0.8747,99.86,-99.81,0.0972,-0.14,0.19,71.26,,,,
derivative_high_vol,M5,20.0,8.0,4.0,0.1,0.0,1.0,2.0,100,0.8,29.19,3353,32.69,0.7655,99.85,-99.85,934,35.22,0.9289,47.35,-43.6,0.1634,-52.5,56.25,72.14,28.11,16280,32.6,0.7481,100.0,-100.0,4444,33.46,0.8449,99.64,-99.62,0.0968,-0.36,0.38,72.7,,,,
derivative_high_vol,M15,20.0,4.0,4.0,0.05,0.0,1.0,2.0,200,0.8,19.54,1426,34.92,0.9478,58.31,-48.89,252,36.9,1.0852,13.01,12.31,0.1374,-45.3,61.2,82.33,19.39,7132,32.7,0.851,99.98,-99.98,1298,33.9,0.9474,63.36,-45.44,0.0964,-36.62,54.54,81.8,,,,
derivative_high_vol,M5,20.0,4.0,2.0,0.05,0.0,1.0,4.0,100,0.8,29.19,5075,19.25,0.7846,100.0,-100.0,1393,20.24,0.8919,83.44,-79.96,0.1073,-16.56,20.04,72.55,28.11,24560,19.22,0.7722,100.0,-100.0,6695,20.04,0.8686,99.99,-99.99,0.0964,-0.01,0.01,72.74,,,,
derivative_high_vol,M1,20.0,4.0,2.0,0.05,0.0,1.0,2.0,200,0.8,25.44,25203,33.87,0.5663,100.0,-100.0,6133,32.72,0.6427,100.0,-100.0,0.0764,0.0,0.0,75.67,25.53,121654,33.5,0.5245,100.0,-100.0,30533,32.88,0.6209,100.0,-100.0,0.0964,0.0,0.0,74.9,,,,
