strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M1,20,8,2,0.1,0.0,1.0,2.0,200,0.8,25.44,17677,33.49,0.5552,100.0,-100.0,4206,33.26,0.6549,100.0,-100.0,0.0997,0.0,0.0,76.21,25.53,85523,33.32,0.5193,100.0,-100.0,21302,33.14,0.6283,100.0,-100.0,0.109,0.0,0.0,75.09
derivative_high_vol,M1,20,8,4,0.1,0.0,1.0,2.0,200,0.8,25.44,16828,33.6,0.5578,100.0,-100.0,3998,33.37,0.6572,100.0,-100.0,0.0994,0.0,0.0,76.24,25.53,81329,33.3,0.519,100.0,-100.0,20252,32.98,0.6234,100.0,-100.0,0.1044,0.0,0.0,75.1
derivative_high_vol,M1,20,8,2,0.05,0.0,1.0,2.0,200,0.8,25.44,17722,33.65,0.5589,100.0,-100.0,4216,33.68,0.6676,100.0,-100.0,0.1087,0.0,0.0,76.21,25.53,85717,33.42,0.5218,100.0,-100.0,21395,32.97,0.6233,100.0,-100.0,0.1015,0.0,0.0,75.04
derivative_high_vol,M1,20,4,2,0.05,0.0,1.0,2.0,200,0.7,32.87,25203,33.87,0.5663,100.0,-100.0,7959,33.36,0.6553,100.0,-100.0,0.089,0.0,0.0,68.42,32.87,121654,33.5,0.5245,100.0,-100.0,39528,33.28,0.6249,100.0,-100.0,0.1004,0.0,0.0,67.51
derivative_high_vol,M1,20,8,2,0.1,0.0,1.0,2.0,200,0.7,32.87,17677,33.49,0.5552,100.0,-100.0,5546,33.3,0.6505,100.0,-100.0,0.0953,0.0,0.0,68.63,32.87,85523,33.32,0.5193,100.0,-100.0,27614,33.08,0.6187,100.0,-100.0,0.0994,0.0,0.0,67.71
derivative_high_vol,M1,20,8,4,0.05,0.0,1.0,2.0,200,0.8,25.44,16826,33.72,0.5602,100.0,-100.0,3990,33.78,0.6704,100.0,-100.0,0.1102,0.0,0.0,76.29,25.53,81406,33.42,0.5216,100.0,-100.0,20289,32.87,0.6208,100.0,-100.0,0.0992,0.0,0.0,75.08
derivative_high_vol,M1,20,4,4,0.05,0.0,1.0,2.0,200,0.7,32.87,22738,33.6,0.5592,100.0,-100.0,7156,33.01,0.6444,100.0,-100.0,0.0852,0.0,0.0,68.53,32.87,110141,33.52,0.5249,100.0,-100.0,35750,33.23,0.6239,100.0,-100.0,0.099,0.0,0.0,67.54
derivative_high_vol,M1,20,4,2,0.05,0.0,1.0,2.0,200,0.8,25.44,25203,33.87,0.5663,100.0,-100.0,6133,32.72,0.6427,100.0,-100.0,0.0764,0.0,0.0,75.67,25.53,121654,33.5,0.5245,100.0,-100.0,30533,32.88,0.6209,100.0,-100.0,0.0964,0.0,0.0,74.9
derivative_high_vol,M1,20,8,4,0.1,0.0,1.0,2.0,200,0.7,32.87,16828,33.6,0.5578,100.0,-100.0,5282,33.38,0.652,100.0,-100.0,0.0942,0.0,0.0,68.61,32.87,81329,33.3,0.519,100.0,-100.0,26247,32.95,0.6149,100.0,-100.0,0.0959,0.0,0.0,67.73
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,2.0,200,0.7,32.87,22683,33.54,0.5567,100.0,-100.0,7144,32.6,0.6321,100.0,-100.0,0.0754,0.0,0.0,68.51,32.87,109750,33.32,0.5197,100.0,-100.0,35781,32.95,0.6151,100.0,-100.0,0.0954,0.0,0.0,67.4
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,2.0,200,0.8,25.44,22683,33.54,0.5567,100.0,-100.0,5449,32.21,0.625,100.0,-100.0,0.0683,0.0,0.0,75.98,25.53,109750,33.32,0.5197,100.0,-100.0,27529,32.69,0.6151,100.0,-100.0,0.0954,0.0,0.0,74.92
derivative_high_vol,M1,20,4,2,0.1,0.0,1.0,2.0,200,0.8,25.44,25028,33.59,0.558,100.0,-100.0,6041,32.33,0.6299,100.0,-100.0,0.0719,0.0,0.0,75.86,25.53,120458,33.33,0.5199,100.0,-100.0,30328,32.69,0.6147,100.0,-100.0,0.0948,0.0,0.0,74.82
derivative_high_vol,M1,20,4,4,0.05,0.0,1.0,2.0,200,0.8,25.44,22738,33.6,0.5592,100.0,-100.0,5501,32.25,0.6276,100.0,-100.0,0.0684,0.0,0.0,75.81,25.53,110141,33.52,0.5249,100.0,-100.0,27595,32.79,0.619,100.0,-100.0,0.0941,0.0,0.0,74.95
derivative_high_vol,M1,20,8,2,0.05,0.0,1.0,2.0,200,0.7,32.87,17722,33.65,0.5589,100.0,-100.0,5560,33.65,0.6613,100.0,-100.0,0.1024,0.0,0.0,68.63,32.87,85717,33.42,0.5218,100.0,-100.0,27720,32.95,0.6154,100.0,-100.0,0.0936,0.0,0.0,67.66
derivative_high_vol,M1,20,8,4,0.05,0.0,1.0,2.0,200,0.7,32.87,16826,33.72,0.5602,100.0,-100.0,5273,33.7,0.6623,100.0,-100.0,0.1021,0.0,0.0,68.66,32.87,81406,33.42,0.5216,100.0,-100.0,26306,32.92,0.6146,100.0,-100.0,0.093,0.0,0.0,67.69
derivative_high_vol,M1,20,4,2,0.1,0.0,1.0,2.0,200,0.7,32.87,25028,33.59,0.558,100.0,-100.0,7916,32.86,0.6403,100.0,-100.0,0.0823,0.0,0.0,68.37,32.87,120458,33.33,0.5199,100.0,-100.0,39368,32.87,0.6126,100.0,-100.0,0.0927,0.0,0.0,67.32
derivative_high_vol,M1,20,8,2,0.1,0.0,1.0,3.0,200,0.8,25.44,17677,25.11,0.6054,100.0,-100.0,4206,24.61,0.6842,100.0,-100.0,0.0788,0.0,0.0,76.21,25.53,85523,25.17,0.5789,100.0,-100.0,21302,24.76,0.6687,100.0,-100.0,0.0898,0.0,0.0,75.09
derivative_high_vol,M1,20,4,4,0.05,0.0,1.0,3.0,200,0.7,32.87,22738,25.38,0.6152,100.0,-100.0,7156,24.85,0.6893,100.0,-100.0,0.0741,0.0,0.0,68.53,32.87,110141,25.35,0.5855,100.0,-100.0,35750,25.06,0.6725,100.0,-100.0,0.087,0.0,0.0,67.54
derivative_high_vol,M1,20,4,2,0.05,0.0,1.0,3.0,200,0.7,32.87,25203,25.58,0.622,100.0,-100.0,7959,25.15,0.7009,100.0,-100.0,0.0789,0.0,0.0,68.42,32.87,121654,25.32,0.5844,100.0,-100.0,39528,25.04,0.6714,100.0,-100.0,0.087,0.0,0.0,67.51
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,3.0,200,0.7,32.87,22683,25.41,0.6156,100.0,-100.0,7144,24.86,0.6894,100.0,-100.0,0.0738,0.0,0.0,68.51,32.87,109750,25.29,0.5827,100.0,-100.0,35781,25.0,0.6695,100.0,-100.0,0.0868,0.0,0.0,67.4
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,3.0,200,0.8,25.44,22683,25.41,0.6156,100.0,-100.0,5449,24.44,0.6787,100.0,-100.0,0.0631,0.0,0.0,75.98,25.53,109750,25.29,0.5827,100.0,-100.0,27529,24.8,0.6692,100.0,-100.0,0.0865,0.0,0.0,74.92
derivative_high_vol,M1,20,4,2,0.1,0.0,1.0,3.0,200,0.8,25.44,25028,25.47,0.6176,100.0,-100.0,6041,24.53,0.6829,100.0,-100.0,0.0653,0.0,0.0,75.86,25.53,120458,25.29,0.5828,100.0,-100.0,30328,24.79,0.6688,100.0,-100.0,0.086,0.0,0.0,74.82
derivative_high_vol,M1,20,8,2,0.05,0.0,1.0,3.0,200,0.8,25.44,17722,25.12,0.6064,100.0,-100.0,4216,24.76,0.6915,100.0,-100.0,0.0851,0.0,0.0,76.21,25.53,85717,25.24,0.5814,100.0,-100.0,21395,24.73,0.6673,100.0,-100.0,0.0859,0.0,0.0,75.04
derivative_high_vol,M1,20,4,2,0.1,0.0,1.0,3.0,200,0.7,32.87,25028,25.47,0.6176,100.0,-100.0,7916,25.04,0.6964,100.0,-100.0,0.0788,0.0,0.0,68.37,32.87,120458,25.29,0.5828,100.0,-100.0,39368,24.92,0.6664,100.0,-100.0,0.0836,0.0,0.0,67.32
