strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,100,0.2,32.52,268,16.04,0.846,50.69,-34.82,2,0.0,0.0,2.86,-2.86,-0.846,-47.83,31.96,99.25,34.08,1421,17.73,0.8632,88.24,-87.04,28,46.43,2.1678,5.68,26.18,1.3046,-82.56,113.22,98.03
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,200,0.3,40.13,31,22.58,1.0596,9.26,0.88,5,60.0,5.3636,2.15,9.65,4.304,-7.11,8.77,83.87,38.31,293,20.48,0.9933,35.89,-7.31,20,40.0,2.2268,5.63,17.72,1.2335,-30.26,25.03,93.17
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,50,0.3,40.91,268,16.04,0.846,50.69,-34.82,3,0.0,0.0,3.6,-3.6,-0.846,-47.09,31.22,98.88,42.16,1421,17.73,0.8632,88.24,-87.04,34,44.12,2.0412,4.68,29.52,1.178,-83.56,116.56,97.61
rsi_low_vol,M5,21,80,20,cross,1.5,3.0,200,0.3,40.13,31,22.58,0.7896,11.2,-5.66,3,66.67,5.2996,1.08,4.68,4.51,-10.12,10.34,90.32,38.31,293,26.28,0.9978,43.87,-4.84,18,44.44,1.9912,6.64,11.59,0.9934,-37.23,16.43,93.86
rsi_low_vol,M5,21,80,20,touch,1.5,4.0,200,0.2,29.49,31,22.58,1.0596,9.26,0.88,2,50.0,3.556,1.09,2.73,2.4964,-8.17,1.85,93.55,27.25,293,20.48,0.9933,35.89,-7.31,8,37.5,1.935,3.63,5.45,0.9417,-32.26,12.76,97.27
rsi_low_vol,M15,21,80,20,cross,1.5,2.0,50,0.3,43.15,14,28.57,0.7568,5.34,-2.62,0,0.0,0.0,0.0,0.0,-0.7568,-5.34,2.62,100.0,41.31,112,32.14,0.906,17.81,-8.07,2,50.0,1.8349,1.04,0.85,0.9289,-16.77,8.92,98.21
rsi_low_vol,M5,21,80,20,cross,1.5,2.0,50,0.2,36.77,31,38.71,1.1279,7.53,2.3,0,0.0,0.0,0.0,0.0,-1.1279,-7.53,-2.3,100.0,36.46,293,32.42,0.8738,45.5,-25.45,4,50.0,1.7636,2.15,1.62,0.8898,-43.35,27.07,98.63
rsi_low_vol,M5,21,80,20,touch,1.5,2.0,200,0.2,29.49,31,54.84,2.1663,5.27,18.7,2,50.0,1.7141,1.09,0.76,-0.4522,-4.18,-17.94,93.55,27.25,293,28.33,0.716,54.7,-48.45,8,50.0,1.544,2.25,2.49,0.828,-52.45,50.94,97.27
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,100,0.2,32.52,268,22.39,0.7855,52.4,-42.21,2,0.0,0.0,2.86,-2.86,-0.7855,-49.54,39.35,99.25,34.08,1421,25.19,0.8343,90.45,-89.76,28,50.0,1.6421,5.68,13.55,0.8078,-84.77,103.31,98.03
rsi_low_vol,M5,21,80,20,cross,1.5,3.0,50,0.3,42.97,31,22.58,0.7896,11.2,-5.66,0,0.0,0.0,0.0,0.0,-0.7896,-11.2,5.66,100.0,42.75,293,26.28,0.9978,43.87,-4.84,5,40.0,1.7943,2.15,2.5,0.7965,-41.72,7.34,98.29
