strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M5,21,80,30,cross,1.5,2.0,200,0.3,40.13,391,31.2,0.9071,43.7,-25.0,44,29.55,0.8387,14.15,-5.27,-0.0684,-29.55,19.73,88.75,38.31,2117,32.74,0.9733,59.09,-44.48,317,37.22,1.1859,16.75,40.03,0.2126,-42.34,84.51,85.03
rsi_low_vol,M1,21,70,30,cross,1.5,3.0,50,0.2,33.05,4028,25.22,1.0456,73.72,108.55,225,29.78,1.2803,28.61,49.56,0.2347,-45.11,-58.99,94.41,34.33,19615,26.15,1.0909,54.24,1889144.3,1998,29.78,1.2944,25.24,4059.89,0.2035,-29.0,-1885084.41,89.81
rsi_low_vol,M1,21,70,30,cross,1.5,3.0,100,0.2,32.52,4028,25.22,1.0456,73.72,108.55,290,26.9,1.109,35.47,20.32,0.0634,-38.25,-88.23,92.8,34.08,19615,26.15,1.0909,54.24,1889144.3,2447,29.87,1.2938,39.86,9575.34,0.2029,-14.38,-1879568.96,87.52
rsi_low_vol,M1,21,70,30,cross,1.5,4.0,50,0.2,33.05,4028,18.4,0.963,97.31,-84.62,225,20.0,1.0286,35.91,0.61,0.0656,-61.4,85.23,94.41,34.33,19615,19.5,1.0266,95.1,25.86,1998,22.67,1.2293,38.86,1815.93,0.2027,-56.24,1790.07,89.81
rsi_low_vol,M1,21,70,20,cross,1.5,4.0,200,0.2,32.51,2234,18.31,0.9601,93.92,-66.19,231,22.94,1.2471,29.08,44.79,0.287,-64.84,110.98,89.66,33.72,10544,19.64,1.036,73.18,137.17,1667,23.16,1.2382,37.45,1255.05,0.2022,-35.73,1117.88,84.19
rsi_low_vol,M1,21,70,20,cross,1.5,2.0,50,0.2,33.05,2234,34.29,1.0515,52.5,69.13,122,43.44,1.5362,13.44,42.77,0.4847,-39.06,-26.36,94.54,34.33,10544,35.49,1.1081,50.51,50243.92,1092,39.47,1.31,15.51,583.33,0.2019,-35.0,-49660.59,89.64
rsi_low_vol,M5,14,80,20,cross,1.5,2.0,200,0.2,29.49,221,30.77,0.8889,33.47,-17.4,21,28.57,0.8,7.81,-3.14,-0.0889,-25.66,14.26,90.5,27.25,1230,33.58,1.0123,49.56,-2.23,106,37.74,1.2121,8.65,13.74,0.1998,-40.91,15.97,91.38
rsi_low_vol,M1,21,70,30,cross,1.5,4.0,100,0.2,32.52,4028,18.4,0.963,97.31,-84.62,290,18.62,0.9432,41.54,-16.77,-0.0198,-55.77,67.85,92.8,34.08,19615,19.5,1.0266,95.1,25.86,2447,22.76,1.2262,40.73,3503.45,0.1996,-54.37,3477.59,87.52
rsi_low_vol,M1,14,80,20,cross,1.5,4.0,200,0.3,40.58,1397,18.47,0.9754,74.46,-40.21,227,22.03,1.1696,22.75,27.43,0.1942,-51.71,67.64,83.75,41.72,6604,19.47,1.0329,73.69,47.28,1362,22.98,1.2299,47.62,672.79,0.197,-26.07,625.51,79.38
rsi_low_vol,M1,14,80,20,cross,1.5,4.0,100,0.3,40.4,1397,18.47,0.9754,74.46,-40.21,145,22.07,1.1636,23.77,16.13,0.1882,-50.69,56.34,89.62,41.84,6604,19.47,1.0329,73.69,47.28,939,22.79,1.2264,32.26,296.73,0.1935,-41.43,249.45,85.78
rsi_low_vol,M1,14,80,20,cross,1.5,4.0,200,0.2,32.51,1397,18.47,0.9754,74.46,-40.21,139,22.3,1.1698,17.44,16.24,0.1944,-57.02,56.45,90.05,33.72,6604,19.47,1.0329,73.69,47.28,912,22.92,1.224,36.13,279.15,0.1911,-37.56,231.87,86.19
rsi_low_vol,M1,21,80,30,cross,1.5,3.0,100,0.2,32.52,2062,24.98,1.0369,49.7,28.12,141,23.4,0.9167,24.93,-10.42,-0.1202,-24.77,-38.54,93.16,34.08,10492,25.97,1.0848,63.1,12153.6,1164,29.55,1.2756,36.65,667.15,0.1908,-26.45,-11486.45,88.91
rsi_low_vol,M1,21,70,20,cross,1.5,3.0,50,0.3,40.91,2234,25.11,1.0408,72.79,39.25,194,30.93,1.3534,23.22,54.78,0.3126,-49.57,15.53,91.32,42.16,10544,26.22,1.0943,58.24,25586.29,1538,29.71,1.2849,26.77,1519.44,0.1906,-31.47,-24066.85,85.41
rsi_low_vol,M1,21,70,20,cross,1.5,4.0,200,0.3,40.58,2234,18.31,0.9601,93.92,-66.19,379,21.64,1.1549,45.59,43.59,0.1948,-48.33,109.78,83.03,41.72,10544,19.64,1.036,73.18,137.17,2349,22.95,1.2264,48.3,3118.41,0.1904,-24.88,2981.24,77.72
