strategy_family,tf,rsi_period,ob_level,os_level,entry_mode,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,100,0.2,32.52,268,16.04,0.8687,46.71,-26.18,2,0.0,0.0,1.99,-1.99,-0.8687,-44.72,24.19,99.25,34.08,1421,17.95,0.9761,50.23,-39.43,28,46.43,3.7143,2.97,44.65,2.7382,-47.26,84.08,98.03
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,50,0.3,40.91,268,16.04,0.8687,46.71,-26.18,3,0.0,0.0,2.97,-2.97,-0.8687,-43.74,23.21,98.88,42.16,1421,17.95,0.9761,50.23,-39.43,34,44.12,3.3333,3.94,50.29,2.3572,-46.29,89.72,97.61
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,100,0.2,32.52,268,22.39,0.9375,39.03,-14.46,2,0.0,0.0,1.99,-1.99,-0.9375,-37.04,12.47,99.25,34.08,1421,25.33,1.0714,39.75,66.6,28,50.0,3.0,2.97,31.41,1.9286,-36.78,-35.19,98.03
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,50,0.2,33.05,268,16.04,0.8687,46.71,-26.18,1,0.0,0.0,1.0,-1.0,-0.8687,-45.71,25.18,99.63,34.33,1421,17.95,0.9761,50.23,-39.43,20,40.0,2.6667,4.9,21.31,1.6906,-45.33,60.74,98.59
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,50,0.3,40.91,268,22.39,0.9375,39.03,-14.46,3,0.0,0.0,2.97,-2.97,-0.9375,-36.06,11.49,98.88,42.16,1421,25.33,1.0714,39.75,66.6,34,47.06,2.6667,3.94,33.91,1.5953,-35.81,-32.69,97.61
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,50,0.3,40.91,268,14.55,0.7256,46.81,-46.81,3,0.0,0.0,2.97,-2.97,-0.7256,-43.84,43.84,98.88,42.16,1421,20.2,1.081,40.16,79.12,35,40.0,2.6667,5.85,40.22,1.5857,-34.31,-38.9,97.54
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,50,0.2,33.05,268,14.55,0.7256,46.81,-46.81,1,0.0,0.0,1.0,-1.0,-0.7256,-45.81,45.81,99.63,34.33,1421,20.2,1.081,40.16,79.12,20,40.0,2.6667,6.79,21.31,1.5857,-33.37,-57.81,98.59
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,100,0.3,40.4,268,16.04,0.8687,46.71,-26.18,5,20.0,1.0,3.94,-0.1,0.1313,-42.77,26.08,98.13,41.84,1421,17.95,0.9761,50.23,-39.43,51,37.25,2.4516,5.85,54.29,1.4755,-44.38,93.72,96.41
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,200,0.2,32.51,268,16.04,0.8687,46.71,-26.18,8,12.5,0.5714,5.85,-3.07,-0.2973,-40.86,23.11,97.01,33.72,1421,17.95,0.9761,50.23,-39.43,58,34.48,2.1622,5.85,51.07,1.1861,-44.38,90.5,95.92
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,50,0.2,33.05,268,22.39,0.9375,39.03,-14.46,1,0.0,0.0,1.0,-1.0,-0.9375,-38.03,13.46,99.63,34.33,1421,25.33,1.0714,39.75,66.6,20,40.0,2.0,4.9,12.28,0.9286,-34.85,-54.32,98.59
rsi_low_vol,M1,21,80,20,cross,1.5,2.0,100,0.2,32.52,268,33.58,1.0345,33.07,3.4,2,0.0,0.0,1.99,-1.99,-1.0345,-31.08,-5.39,99.25,34.08,1421,35.19,1.1013,32.99,117.19,28,50.0,2.0,2.97,14.63,0.8987,-30.02,-102.56,98.03
rsi_low_vol,M1,21,80,20,touch,1.5,3.0,50,0.3,40.91,268,22.39,0.8824,28.57,-24.17,3,0.0,0.0,2.97,-2.97,-0.8824,-25.6,21.2,98.88,42.16,1421,26.46,1.1146,34.98,156.81,35,40.0,2.0,5.85,22.48,0.8854,-29.13,-134.33,97.54
rsi_low_vol,M1,21,80,20,touch,1.5,3.0,50,0.2,33.05,268,22.39,0.8824,28.57,-24.17,1,0.0,0.0,1.0,-1.0,-0.8824,-27.57,23.17,99.63,34.33,1421,26.46,1.1146,34.98,156.81,20,40.0,2.0,6.79,12.28,0.8854,-28.19,-144.53,98.59
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,100,0.3,40.4,268,22.39,0.9375,39.03,-14.46,5,20.0,0.75,3.94,-1.06,-0.1875,-35.09,13.4,98.13,41.84,1421,25.33,1.0714,39.75,66.6,51,39.22,1.9355,6.9,32.26,0.8641,-32.85,-34.34,96.41
rsi_low_vol,M1,21,80,20,cross,1.5,3.0,200,0.2,32.51,268,22.39,0.9375,39.03,-14.46,8,37.5,1.8,3.94,3.92,0.8625,-35.09,18.38,97.01,33.72,1421,25.33,1.0714,39.75,66.6,58,37.93,1.8333,5.91,33.44,0.7619,-33.84,-33.16,95.92
rsi_low_vol,M1,21,80,20,cross,1.5,2.0,50,0.3,40.91,268,33.58,1.0345,33.07,3.4,3,33.33,1.0,1.99,-0.03,-0.0345,-31.08,-3.43,98.88,42.16,1421,35.19,1.1013,32.99,117.19,34,47.06,1.7778,3.94,14.56,0.6765,-29.05,-102.63,97.61
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,100,0.2,32.52,268,14.55,0.7256,46.81,-46.81,3,0.0,0.0,2.97,-2.97,-0.7256,-43.84,43.84,98.88,34.08,1421,20.2,1.081,40.16,79.12,41,29.27,1.7143,5.94,20.83,0.6333,-34.22,-58.29,97.11
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,100,0.3,40.4,268,14.55,0.7256,46.81,-46.81,8,0.0,0.0,7.73,-7.73,-0.7256,-39.08,39.08,97.01,41.84,1421,20.2,1.081,40.16,79.12,64,28.12,1.6364,10.55,30.18,0.5554,-29.61,-48.94,95.5
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,200,0.2,32.51,268,14.55,0.7256,46.81,-46.81,8,12.5,0.5714,3.94,-3.07,-0.1542,-42.87,43.74,97.01,33.72,1421,20.2,1.081,40.16,79.12,78,26.92,1.5273,13.21,31.11,0.4463,-26.95,-48.01,94.51
rsi_low_vol,M1,21,80,20,cross,1.5,2.0,100,0.3,40.4,268,33.58,1.0345,33.07,3.4,5,20.0,0.5,3.94,-2.02,-0.5345,-29.13,-5.42,98.13,41.84,1421,35.19,1.1013,32.99,117.19,51,43.14,1.5172,5.96,15.51,0.4159,-27.03,-101.68,96.41
rsi_low_vol,M1,21,80,20,cross,1.5,2.0,200,0.2,32.51,268,33.58,1.0345,33.07,3.4,8,37.5,1.2,3.94,0.92,0.1655,-29.13,-2.48,97.01,33.72,1421,35.19,1.1013,32.99,117.19,58,43.1,1.5152,5.88,17.75,0.4139,-27.11,-99.44,95.92
rsi_low_vol,M1,21,80,20,cross,1.5,4.0,200,0.3,40.58,268,16.04,0.8687,46.71,-26.18,9,11.11,0.5,6.79,-4.03,-0.3687,-39.92,22.15,96.64,41.72,1421,17.95,0.9761,50.23,-39.43,114,25.44,1.381,13.3,34.07,0.4049,-36.93,73.5,91.98
rsi_low_vol,M1,21,80,20,touch,1.5,4.0,200,0.3,40.58,268,14.55,0.7256,46.81,-46.81,17,23.53,1.2308,3.94,2.66,0.5052,-42.87,49.47,93.66,41.72,1421,20.2,1.081,40.16,79.12,145,25.52,1.4231,17.63,50.07,0.3421,-22.53,-29.05,89.8
rsi_low_vol,M1,21,80,20,touch,1.5,3.0,200,0.2,32.51,268,22.39,0.8824,28.57,-24.17,8,25.0,1.0,3.94,-0.12,0.1176,-24.63,24.05,97.01,33.72,1421,26.46,1.1146,34.98,156.81,78,32.05,1.4151,9.67,22.91,0.3005,-25.31,-133.9,94.51
rsi_low_vol,M1,14,80,20,cross,1.5,3.0,100,0.2,32.52,1397,25.13,1.0415,58.32,23.89,78,28.21,1.2,13.13,10.24,0.1585,-45.19,-13.65,94.42,34.08,6604,25.94,1.0839,54.08,1879.81,595,31.43,1.3818,27.59,325.06,0.2979,-26.49,-1554.75,90.99
rsi_low_vol,M1,14,80,20,cross,1.5,4.0,50,0.3,40.91,1397,18.47,0.9754,74.46,-40.21,76,25.0,1.3818,17.55,21.22,0.4064,-56.91,61.43,94.56,42.16,6604,19.47,1.0329,73.69,47.28,603,24.21,1.3273,29.79,268.43,0.2944,-43.9,221.15,90.87
rsi_low_vol,M1,14,80,20,cross,1.5,4.0,100,0.2,32.52,1397,18.47,0.9754,74.46,-40.21,78,21.79,1.1525,16.79,7.66,0.1771,-57.67,47.87,94.42,34.08,6604,19.47,1.0329,73.69,47.28,595,24.03,1.318,29.86,247.89,0.2851,-43.83,200.61,90.99
rsi_low_vol,M1,21,80,20,touch,1.5,3.0,100,0.2,32.52,268,22.39,0.8824,28.57,-24.17,3,33.33,1.5,1.99,0.95,0.6176,-26.58,25.12,98.88,34.08,1421,26.46,1.1146,34.98,156.81,41,31.71,1.3929,6.85,10.83,0.2783,-28.13,-145.98,97.11
