tf,session_label,min_session_bars,entry_atr_mult,rejection_frac,sl_atr_mult,rr,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,day,30,1.5,0.25,1.0,3.0,43,44.18604651162791,1.009613065261364,48.656562259705126,0.9329669692066167,44,47.72727272727273,1.8646989704034413,15.334993790667435,58.95135149138142,87,17,70,594.471264367816
M1,day,30,1.5,0.25,1.0,2.0,43,44.18604651162791,1.0031656637319246,48.656562259705126,0.3070623436463915,44,47.72727272727273,1.8460863552711522,16.20395748319287,57.26402094679797,87,17,70,594.2183908045977
M1,day,30,2.0,0.25,1.0,3.0,133,39.097744360902254,0.8148377152708273,87.53046891418461,-65.1158498312398,85,45.88235294117647,1.2044804772234976,41.08870842356028,60.35507011516963,218,60,158,611.894495412844
M1,day,30,2.0,0.25,1.0,2.0,134,39.55223880597015,0.8091843253573836,88.07310501922001,-66.58258079999828,85,45.88235294117647,1.2041523701665773,41.088707291677025,60.21106079914382,219,61,158,608.9771689497717
