tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M5,derivative,64,0.05,-1.0,newyork,none,cycle,46.7,1.6,46.7,35.9,15.8,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,64,0.05,-1.5,newyork,none,cycle,48.2,0.1,48.2,35.9,15.8,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,64,0.08,-1.0,newyork,none,cycle,41.6,1.6,41.6,31.2,25.6,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,64,0.08,-1.5,newyork,none,cycle,43.1,0.1,43.1,31.2,25.6,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.03,-1.0,newyork,none,cycle,62.3,0.4,62.3,25.8,11.5,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.03,-1.5,newyork,none,cycle,62.6,0.0,62.6,25.8,11.5,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.05,-1.0,newyork,none,cycle,58.2,0.4,58.2,22.5,18.9,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.05,-1.5,newyork,none,cycle,58.6,0.0,58.6,22.5,18.9,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.08,-1.0,newyork,none,cycle,51.7,0.4,51.7,18.0,29.9,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.08,-1.5,newyork,none,cycle,52.1,0.0,52.1,18.0,29.9,5060,22.29,0.8622,99.82,-99.78,2546,2514,24287,23.17,0.9052,100.0,-100.0,12161,12126,0.043,0.9052,100.0,24287,0.0
M5,derivative,128,0.08,-1.0,newyork,cycle,cycle,51.7,0.4,51.7,18.0,29.9,2501,22.83,0.8894,93.27,-91.62,1254,1247,13161,23.16,0.9044,100.0,-100.0,6603,6558,0.015,0.9052,100.0,24287,-0.0008
M15,derivative,64,0.08,-1.0,london,cycle,cycle,38.4,1.9,38.4,33.5,26.2,715,23.64,0.9303,45.06,-38.25,358,357,3480,22.99,0.9043,96.34,-95.15,1757,1723,-0.026,0.9485,99.36,8274,-0.0442
M5,derivative,128,0.08,-1.5,newyork,cycle,cycle,52.1,0.0,52.1,18.0,29.9,2516,22.77,0.8865,93.74,-92.2,1263,1253,13274,23.16,0.9043,100.0,-100.0,6660,6614,0.0178,0.9052,100.0,24287,-0.0009
M15,derivative,64,0.03,-1.0,newyork,cycle,cycle,46.9,1.9,46.9,41.5,9.7,802,22.69,0.8806,63.55,-57.32,407,395,3969,23.1,0.9029,98.03,-97.03,2005,1964,0.0223,0.8984,99.96,7977,0.0045
M15,derivative,64,0.08,-1.5,london,cycle,cycle,40.0,0.2,40.0,33.5,26.2,752,24.2,0.9596,44.93,-28.75,377,375,3697,22.91,0.9007,96.96,-96.37,1860,1837,-0.0589,0.9485,99.36,8274,-0.0478
M15,derivative,64,0.05,-1.0,newyork,cycle,cycle,43.5,1.9,43.5,38.3,16.3,748,22.99,0.8958,57.42,-50.58,379,369,3726,23.05,0.8998,97.78,-96.64,1887,1839,0.004,0.8984,99.96,7977,0.0014
M15,derivative,64,0.03,-1.0,newyork,none,cycle,46.9,1.9,46.9,41.5,9.7,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
M15,derivative,64,0.03,-1.5,newyork,none,cycle,48.5,0.2,48.5,41.5,9.8,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
M15,derivative,64,0.05,-1.0,newyork,none,cycle,43.5,1.9,43.5,38.3,16.3,1718,23.22,0.9082,84.09,-76.6,872,846,7977,23.02,0.8984,99.96,-99.94,4019,3958,-0.0098,0.8984,99.96,7977,0.0
