tf,strategy,fft_n,delta,slope_thresh,session_label,regime_filter,target_regime,regime_pct,regime_trend_pct,regime_cycle_pct,regime_noise_pct,regime_trans_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_oos_pf,base_oos_dd,base_oos_trades,pf_gain
M1,derivative,64,0.03,-1.0,newyork,none,cycle,51.0,2.3,51.0,37.3,9.4,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.03,-1.5,newyork,none,cycle,53.1,0.2,53.1,37.3,9.4,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.0,newyork,none,cycle,47.7,2.3,47.7,34.3,15.7,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.5,newyork,none,cycle,49.8,0.2,49.8,34.3,15.7,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.05,-1.5,newyork,cycle,cycle,49.8,0.2,49.8,34.3,15.7,12497,24.14,0.779,100.0,-100.0,6240,6257,58847,24.62,0.7819,100.0,-100.0,29456,29391,0.0029,0.7819,100.0,113834,0.0
M1,derivative,64,0.08,-1.0,newyork,none,cycle,42.9,2.3,42.9,29.9,24.9,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.08,-1.5,newyork,none,cycle,45.0,0.2,45.0,29.9,25.0,24108,24.55,0.7864,100.0,-100.0,12060,12048,113834,24.69,0.7819,100.0,-100.0,56963,56871,-0.0045,0.7819,100.0,113834,0.0
M1,derivative,64,0.03,-1.5,newyork,cycle,cycle,53.1,0.2,53.1,37.3,9.4,13256,24.15,0.7793,100.0,-100.0,6611,6645,62638,24.62,0.7818,100.0,-100.0,31306,31332,0.0025,0.7819,100.0,113834,-0.0001
M1,derivative,64,0.03,-1.0,newyork,cycle,cycle,51.0,2.3,51.0,37.3,9.4,12717,24.21,0.782,100.0,-100.0,6335,6382,60139,24.57,0.7799,100.0,-100.0,30046,30093,-0.0021,0.7819,100.0,113834,-0.002
M1,derivative,64,0.05,-1.0,newyork,cycle,cycle,47.7,2.3,47.7,34.3,15.7,11961,24.2,0.7815,100.0,-100.0,5967,5994,56356,24.58,0.7798,100.0,-100.0,28200,28156,-0.0017,0.7819,100.0,113834,-0.0021
M1,derivative,64,0.08,-1.5,newyork,cycle,cycle,45.0,0.2,45.0,29.9,25.0,11291,24.08,0.7777,100.0,-100.0,5653,5638,53063,24.55,0.7794,100.0,-100.0,26569,26494,0.0017,0.7819,100.0,113834,-0.0025
M1,derivative,64,0.08,-1.0,newyork,cycle,cycle,42.9,2.3,42.9,29.9,24.9,10762,24.16,0.781,100.0,-100.0,5384,5378,50591,24.49,0.7769,100.0,-100.0,25323,25268,-0.0041,0.7819,100.0,113834,-0.005
M1,rsi,64,0.03,-1.0,newyork,none,noise,37.3,2.3,51.0,37.3,9.4,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.03,-1.5,newyork,none,noise,37.3,0.2,53.1,37.3,9.4,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.05,-1.0,newyork,none,noise,34.3,2.3,47.7,34.3,15.7,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.05,-1.5,newyork,none,noise,34.3,0.2,49.8,34.3,15.7,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.08,-1.0,newyork,none,noise,29.9,2.3,42.9,29.9,24.9,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.08,-1.5,newyork,none,noise,29.9,0.2,45.0,29.9,25.0,3044,36.2,0.8724,97.17,-96.1,1513,1531,15793,34.29,0.7747,100.0,-100.0,7862,7931,-0.0977,0.7747,100.0,15793,0.0
M1,rsi,64,0.03,-1.0,newyork,noise,noise,37.3,2.3,51.0,37.3,9.4,1065,38.03,0.9289,61.33,-49.09,509,556,5589,34.01,0.7616,100.0,-100.0,2731,2858,-0.1673,0.7747,100.0,15793,-0.0131
M1,rsi,64,0.03,-1.5,newyork,noise,noise,37.3,0.2,53.1,37.3,9.4,1067,38.05,0.93,61.03,-48.69,509,558,5589,34.01,0.7616,100.0,-100.0,2731,2858,-0.1684,0.7747,100.0,15793,-0.0131
M1,rsi,64,0.05,-1.0,newyork,noise,noise,34.3,2.3,47.7,34.3,15.7,973,38.54,0.9476,54.76,-38.08,469,504,5072,33.83,0.755,100.0,-100.0,2474,2598,-0.1926,0.7747,100.0,15793,-0.0197
M1,rsi,64,0.05,-1.5,newyork,noise,noise,34.3,0.2,49.8,34.3,15.7,974,38.6,0.9503,53.88,-36.87,469,505,5072,33.83,0.755,100.0,-100.0,2474,2598,-0.1953,0.7747,100.0,15793,-0.0197
M1,rsi,64,0.08,-1.0,newyork,noise,noise,29.9,2.3,42.9,29.9,24.9,846,38.42,0.9383,57.39,-37.92,402,444,4374,33.45,0.7401,99.99,-99.99,2127,2247,-0.1982,0.7747,100.0,15793,-0.0346
M1,rsi,64,0.08,-1.5,newyork,noise,noise,29.9,0.2,45.0,29.9,25.0,847,38.49,0.9414,57.39,-36.71,402,445,4374,33.45,0.7401,99.99,-99.99,2127,2247,-0.2013,0.7747,100.0,15793,-0.0346
M1,rsi,64,0.03,-1.0,all,noise,noise,37.3,2.3,51.0,37.3,9.4,3718,35.34,0.736,99.98,-99.98,1752,1966,17861,35.52,0.719,100.0,-100.0,8783,9078,-0.017,0.7139,100.0,49092,0.0051
M1,rsi,64,0.03,-1.5,all,noise,noise,37.3,0.2,53.1,37.3,9.4,3720,35.35,0.7363,99.98,-99.98,1752,1968,17863,35.51,0.7188,100.0,-100.0,8785,9078,-0.0175,0.7139,100.0,49092,0.0049
M1,rsi,64,0.05,-1.0,all,noise,noise,34.3,2.3,47.7,34.3,15.7,3407,35.1,0.7262,99.97,-99.97,1604,1803,16308,35.42,0.7155,100.0,-100.0,8045,8263,-0.0107,0.7139,100.0,49092,0.0016
M1,rsi,64,0.05,-1.5,all,noise,noise,34.3,0.2,49.8,34.3,15.7,3408,35.12,0.7269,99.97,-99.97,1604,1804,16310,35.42,0.7154,100.0,-100.0,8047,8263,-0.0115,0.7139,100.0,49092,0.0015
M1,rsi,64,0.03,-1.0,all,none,noise,37.3,2.3,51.0,37.3,9.4,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,rsi,64,0.03,-1.5,all,none,noise,37.3,0.2,53.1,37.3,9.4,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,rsi,64,0.05,-1.0,all,none,noise,34.3,2.3,47.7,34.3,15.7,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,rsi,64,0.05,-1.5,all,none,noise,34.3,0.2,49.8,34.3,15.7,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,rsi,64,0.08,-1.0,all,none,noise,29.9,2.3,42.9,29.9,24.9,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,rsi,64,0.08,-1.5,all,none,noise,29.9,0.2,45.0,29.9,25.0,10031,34.98,0.7377,100.0,-100.0,4896,5135,49092,35.14,0.7139,100.0,-100.0,24464,24628,-0.0238,0.7139,100.0,49092,0.0
M1,derivative,64,0.03,-1.5,all,cycle,cycle,53.1,0.2,53.1,37.3,9.4,37581,25.0,0.7403,100.0,-100.0,18764,18817,185863,24.9,0.7067,100.0,-100.0,92938,92925,-0.0336,0.6981,100.0,347232,0.0086
M1,derivative,64,0.05,-1.5,all,cycle,cycle,49.8,0.2,49.8,34.3,15.7,35264,24.97,0.7401,100.0,-100.0,17597,17667,174604,24.89,0.7067,100.0,-100.0,87380,87224,-0.0334,0.6981,100.0,347232,0.0086
M1,derivative,64,0.03,-1.0,all,cycle,cycle,51.0,2.3,51.0,37.3,9.4,36099,24.97,0.7392,100.0,-100.0,18003,18096,178564,24.9,0.7064,100.0,-100.0,89272,89292,-0.0328,0.6981,100.0,347232,0.0083
M1,derivative,64,0.05,-1.0,all,cycle,cycle,47.7,2.3,47.7,34.3,15.7,33787,24.94,0.7389,100.0,-100.0,16840,16947,167328,24.9,0.7064,100.0,-100.0,83725,83603,-0.0325,0.6981,100.0,347232,0.0083
M1,derivative,64,0.08,-1.5,all,cycle,cycle,45.0,0.2,45.0,29.9,25.0,31786,24.87,0.7375,100.0,-100.0,15889,15897,157594,24.85,0.7058,100.0,-100.0,78870,78724,-0.0317,0.6981,100.0,347232,0.0077
M1,derivative,64,0.08,-1.0,all,cycle,cycle,42.9,2.3,42.9,29.9,24.9,30322,24.83,0.7363,100.0,-100.0,15140,15182,150362,24.85,0.7055,100.0,-100.0,75241,75121,-0.0308,0.6981,100.0,347232,0.0074
M1,rsi,64,0.08,-1.0,all,noise,noise,29.9,2.3,42.9,29.9,24.9,2949,34.83,0.7149,99.94,-99.94,1386,1563,14175,35.15,0.7053,100.0,-100.0,6993,7182,-0.0096,0.7139,100.0,49092,-0.0086
M1,rsi,64,0.08,-1.5,all,noise,noise,29.9,0.2,45.0,29.9,25.0,2950,34.85,0.7157,99.94,-99.94,1386,1564,14177,35.15,0.7051,100.0,-100.0,6995,7182,-0.0106,0.7139,100.0,49092,-0.0088
M1,derivative,64,0.03,-1.0,all,none,cycle,51.0,2.3,51.0,37.3,9.4,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,derivative,64,0.03,-1.5,all,none,cycle,53.1,0.2,53.1,37.3,9.4,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,derivative,64,0.05,-1.0,all,none,cycle,47.7,2.3,47.7,34.3,15.7,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,derivative,64,0.05,-1.5,all,none,cycle,49.8,0.2,49.8,34.3,15.7,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,derivative,64,0.08,-1.0,all,none,cycle,42.9,2.3,42.9,29.9,24.9,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,derivative,64,0.08,-1.5,all,none,cycle,45.0,0.2,45.0,29.9,25.0,71176,24.99,0.73,100.0,-100.0,35588,35588,347232,24.81,0.6981,100.0,-100.0,173616,173616,-0.0319,0.6981,100.0,347232,0.0
M1,rsi,64,0.05,-1.0,asian,noise,noise,34.3,2.3,47.7,34.3,15.7,1317,31.21,0.5352,99.76,-99.73,604,713,5901,36.2,0.6634,100.0,-100.0,2944,2957,0.1282,0.6374,100.0,18091,0.026
M1,rsi,64,0.05,-1.5,asian,noise,noise,34.3,0.2,49.8,34.3,15.7,1317,31.21,0.5352,99.76,-99.73,604,713,5902,36.19,0.6632,100.0,-100.0,2945,2957,0.128,0.6374,100.0,18091,0.0258
M1,rsi,64,0.03,-1.0,asian,noise,noise,37.3,2.3,51.0,37.3,9.4,1438,32.41,0.5674,99.76,-99.73,660,778,6474,36.18,0.6625,100.0,-100.0,3208,3266,0.0951,0.6374,100.0,18091,0.0251
M1,rsi,64,0.03,-1.5,asian,noise,noise,37.3,0.2,53.1,37.3,9.4,1438,32.41,0.5674,99.76,-99.73,660,778,6475,36.17,0.6623,100.0,-100.0,3209,3266,0.0949,0.6374,100.0,18091,0.0249
M1,rsi,64,0.08,-1.0,asian,noise,noise,29.9,2.3,42.9,29.9,24.9,1144,30.59,0.518,99.58,-99.54,528,616,5088,36.2,0.6619,100.0,-100.0,2551,2537,0.1439,0.6374,100.0,18091,0.0245
M1,derivative,64,0.08,-1.5,asian,cycle,cycle,45.0,0.2,45.0,29.9,25.0,10290,26.45,0.7102,100.0,-100.0,5126,5164,53796,25.72,0.6617,100.0,-100.0,26945,26851,-0.0485,0.6547,100.0,117317,0.007
M1,rsi,64,0.08,-1.5,asian,noise,noise,29.9,0.2,45.0,29.9,25.0,1144,30.59,0.518,99.58,-99.54,528,616,5089,36.2,0.6617,100.0,-100.0,2552,2537,0.1437,0.6374,100.0,18091,0.0243
M1,derivative,64,0.03,-1.5,asian,cycle,cycle,53.1,0.2,53.1,37.3,9.4,12275,26.48,0.7092,100.0,-100.0,6119,6156,63345,25.72,0.6606,100.0,-100.0,31735,31610,-0.0486,0.6547,100.0,117317,0.0059
M1,derivative,64,0.05,-1.5,asian,cycle,cycle,49.8,0.2,49.8,34.3,15.7,11453,26.43,0.7075,100.0,-100.0,5703,5750,59558,25.7,0.6602,100.0,-100.0,29830,29728,-0.0473,0.6547,100.0,117317,0.0055
M1,derivative,64,0.08,-1.0,asian,cycle,cycle,42.9,2.3,42.9,29.9,24.9,9788,26.44,0.7107,100.0,-100.0,4876,4912,51349,25.69,0.6601,100.0,-100.0,25729,25620,-0.0506,0.6547,100.0,117317,0.0054
M1,derivative,64,0.03,-1.0,asian,cycle,cycle,51.0,2.3,51.0,37.3,9.4,11771,26.47,0.7098,100.0,-100.0,5868,5903,60875,25.69,0.6592,100.0,-100.0,30505,30370,-0.0506,0.6547,100.0,117317,0.0045
M1,derivative,64,0.05,-1.0,asian,cycle,cycle,47.7,2.3,47.7,34.3,15.7,10949,26.42,0.708,100.0,-100.0,5452,5497,57099,25.67,0.6587,100.0,-100.0,28606,28493,-0.0493,0.6547,100.0,117317,0.004
M1,derivative,64,0.03,-1.0,asian,none,cycle,51.0,2.3,51.0,37.3,9.4,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
M1,derivative,64,0.03,-1.5,asian,none,cycle,53.1,0.2,53.1,37.3,9.4,23442,26.3,0.6962,100.0,-100.0,11709,11733,117317,25.62,0.6547,100.0,-100.0,58634,58683,-0.0415,0.6547,100.0,117317,0.0
