tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M5,rsi,128,0.08,0.3,10,asian,fft_clock,3.739430589746334,768,34.77,1.0659,31.63,28.67,400,368,3644,33.75,1.0191,55.51,10.05,1823,1821,-0.0468,1.0126,63.86,3838,0.0065
M5,rsi,0,0.0,0.0,0,newyork,time_clock,8.328427699882266,422,34.6,1.058,33.99,12.44,173,249,2217,33.15,0.9919,65.73,-28.8,1042,1175,-0.0661,0.9854,67.82,2461,0.0065
M5,derivative,0,0.0,0.0,0,newyork,time_clock,8.328427699882266,4521,22.21,0.8581,99.72,-99.63,2257,2264,21484,23.3,0.912,100.0,-100.0,10680,10804,0.0539,0.9055,100.0,24295,0.0065
M5,rsi,128,0.08,0.5,10,asian,fft_clock,3.227014877448357,772,34.59,1.0574,31.63,23.6,402,370,3666,33.74,1.0185,57.71,8.72,1836,1830,-0.0389,1.0126,63.86,3838,0.0059
M5,rsi,128,0.1,0.5,10,asian,fft_clock,2.1005030504120734,777,34.62,1.0591,31.63,24.77,404,373,3716,33.72,1.0175,56.08,6.05,1861,1855,-0.0416,1.0126,63.86,3838,0.0049
M5,derivative,0,0.0,0.0,0,all,time_clock,8.328427699882266,13806,24.13,0.956,99.92,-99.86,6912,6894,64945,24.47,0.9732,100.0,-100.0,32338,32607,0.0172,0.9689,100.0,72293,0.0043
M5,derivative,128,0.06,0.3,20,newyork,fft_clock,4.718773413250562,4776,22.26,0.8605,99.73,-99.7,2401,2375,22649,23.25,0.9097,100.0,-100.0,11334,11315,0.0492,0.9055,100.0,24295,0.0042
M5,rsi,128,0.1,0.3,10,asian,fft_clock,2.360055656641336,775,34.71,1.0632,31.63,27.31,403,372,3703,33.7,1.0167,54.72,4.09,1851,1852,-0.0465,1.0126,63.86,3838,0.0041
M5,derivative,128,0.08,0.5,10,london,fft_clock,3.227014877448357,5612,23.34,0.9169,99.32,-98.71,2811,2801,24392,24.77,0.9907,99.82,-99.5,12217,12175,0.0738,0.987,99.92,25604,0.0037
M5,derivative,128,0.08,0.3,10,london,fft_clock,3.739430589746334,5586,23.33,0.9161,99.33,-98.73,2800,2786,24233,24.77,0.9905,99.81,-99.5,12136,12097,0.0744,0.987,99.92,25604,0.0035
M5,derivative,128,0.08,0.3,20,newyork,fft_clock,3.877234293053623,4825,22.24,0.8595,99.76,-99.73,2428,2397,22897,23.23,0.9086,100.0,-100.0,11460,11437,0.0491,0.9055,100.0,24295,0.0031
M5,derivative,128,0.08,0.5,20,newyork,fft_clock,2.9366905704805735,4874,22.18,0.8566,99.8,-99.78,2450,2424,23190,23.23,0.9084,100.0,-100.0,11614,11576,0.0518,0.9055,100.0,24295,0.0029
M5,rsi,128,0.1,0.5,20,asian,fft_clock,1.8837632452103177,777,34.75,1.0651,30.94,28.56,405,372,3730,33.67,1.0154,53.87,0.76,1872,1858,-0.0497,1.0126,63.86,3838,0.0028
M5,rsi,64,0.06,0.3,10,asian,fft_clock,10.463716151129187,709,34.98,1.0759,27.27,32.03,363,346,3353,33.67,1.0153,63.46,0.52,1684,1669,-0.0606,1.0126,63.86,3838,0.0027
M5,derivative,128,0.08,0.3,20,london,fft_clock,3.877234293053623,5591,23.25,0.9123,99.37,-98.93,2799,2792,24175,24.75,0.9897,99.82,-99.55,12104,12071,0.0774,0.987,99.92,25604,0.0027
M5,derivative,128,0.1,0.3,20,newyork,fft_clock,2.366745156801884,4925,22.25,0.8603,99.8,-99.76,2478,2447,23327,23.22,0.908,100.0,-100.0,11671,11656,0.0477,0.9055,100.0,24295,0.0025
M5,derivative,128,0.1,0.5,20,newyork,fft_clock,1.8837632452103177,4954,22.24,0.8598,99.81,-99.77,2490,2464,23503,23.22,0.908,100.0,-100.0,11763,11740,0.0482,0.9055,100.0,24295,0.0025
M5,rsi,128,0.06,0.5,10,asian,fft_clock,3.621695386920689,767,34.81,1.068,30.94,29.97,398,369,3654,33.66,1.0149,59.34,-0.48,1833,1821,-0.0531,1.0126,63.86,3838,0.0023
M5,derivative,128,0.1,0.5,10,london,fft_clock,2.1005030504120734,5660,23.3,0.9149,99.37,-98.87,2836,2824,24695,24.75,0.9893,99.84,-99.63,12364,12331,0.0744,0.987,99.92,25604,0.0023
M5,derivative,128,0.1,0.3,10,asian,fft_clock,2.360055656641336,4973,25.54,1.0295,86.28,40.97,2497,2476,23646,25.44,1.0239,91.39,97.1,11760,11886,-0.0056,1.0217,94.97,24504,0.0022
M5,derivative,128,0.1,0.5,20,asian,fft_clock,1.8837632452103177,5004,25.56,1.0306,84.73,47.45,2510,2494,23808,25.44,1.0239,91.67,96.28,11836,11972,-0.0067,1.0217,94.97,24504,0.0022
M5,rsi,128,0.1,0.3,20,asian,fft_clock,2.366745156801884,774,34.63,1.0593,30.94,24.81,403,371,3699,33.66,1.0147,53.81,-0.92,1852,1847,-0.0446,1.0126,63.86,3838,0.0021
M5,rsi,64,0.06,0.5,10,london,fft_clock,7.8681900888365615,598,31.1,0.9029,48.94,-36.71,293,305,3122,33.6,1.0121,45.45,-5.95,1535,1587,0.1092,1.01,46.69,3460,0.0021
M5,rsi,64,0.08,0.5,10,london,fft_clock,7.860162688643904,598,31.1,0.9029,48.94,-36.71,293,305,3122,33.6,1.0121,45.45,-5.95,1535,1587,0.1092,1.01,46.69,3460,0.0021
M5,derivative,128,0.08,0.5,20,asian,fft_clock,2.9366905704805735,4959,25.51,1.0279,84.78,33.12,2486,2473,23540,25.44,1.0237,91.53,88.67,11697,11843,-0.0042,1.0217,94.97,24504,0.002
M5,derivative,128,0.06,0.5,20,newyork,fft_clock,3.4317135823611262,4844,22.17,0.8562,99.78,-99.77,2434,2410,23041,23.21,0.9074,100.0,-100.0,11538,11503,0.0512,0.9055,100.0,24295,0.0019
M5,derivative,128,0.1,0.3,10,newyork,fft_clock,2.360055656641336,4928,22.24,0.8596,99.8,-99.76,2481,2447,23377,23.21,0.9074,100.0,-100.0,11699,11678,0.0478,0.9055,100.0,24295,0.0019
M5,rsi,0,0.0,0.0,0,asian,time_clock,8.328427699882266,712,35.11,1.0823,31.12,35.99,366,346,3462,33.65,1.0144,53.17,-1.54,1747,1715,-0.0679,1.0126,63.86,3838,0.0018
M5,rsi,64,0.08,0.3,10,asian,fft_clock,10.42224125013379,709,34.98,1.0759,27.27,32.03,363,346,3355,33.65,1.0144,63.83,-1.48,1685,1670,-0.0615,1.0126,63.86,3838,0.0018
M5,derivative,128,0.1,0.3,10,london,fft_clock,2.360055656641336,5646,23.29,0.9143,99.37,-98.89,2831,2815,24596,24.74,0.9887,99.86,-99.66,12317,12279,0.0744,0.987,99.92,25604,0.0017
M5,derivative,128,0.08,0.3,10,newyork,fft_clock,3.739430589746334,4831,22.23,0.8592,99.77,-99.74,2431,2400,22964,23.21,0.9072,100.0,-100.0,11492,11472,0.048,0.9055,100.0,24295,0.0017
M5,derivative,128,0.1,0.3,20,asian,fft_clock,2.366745156801884,4987,25.59,1.0321,84.24,55.32,2501,2486,23657,25.43,1.0233,92.05,76.47,11765,11892,-0.0088,1.0217,94.97,24504,0.0016
M5,derivative,128,0.1,0.5,10,newyork,fft_clock,2.1005030504120734,4943,22.25,0.8603,99.8,-99.76,2488,2455,23448,23.2,0.9071,100.0,-100.0,11736,11712,0.0468,0.9055,100.0,24295,0.0016
M5,derivative,128,0.1,0.5,10,asian,fft_clock,2.1005030504120734,4995,25.55,1.0299,85.01,43.32,2506,2489,23737,25.43,1.0232,92.22,74.39,11810,11927,-0.0067,1.0217,94.97,24504,0.0015
M5,rsi,128,0.08,0.3,10,all,fft_clock,3.739430589746334,1847,32.97,0.9838,59.85,-31.79,880,967,9207,33.55,1.01,78.44,-26.48,4490,4717,0.0262,1.0086,82.5,9660,0.0014
M5,derivative,128,0.08,0.5,20,all,fft_clock,2.9366905704805735,14807,24.09,0.9536,99.97,-99.94,7400,7407,69293,24.42,0.9703,100.0,-100.0,34630,34663,0.0167,0.9689,100.0,72293,0.0014
M5,derivative,128,0.08,0.5,10,newyork,fft_clock,3.227014877448357,4859,22.21,0.8579,99.79,-99.76,2446,2413,23124,23.2,0.9069,100.0,-100.0,11577,11547,0.049,0.9055,100.0,24295,0.0014
M5,rsi,128,0.08,0.5,20,asian,fft_clock,2.9366905704805735,772,34.84,1.0696,32.29,31.2,402,370,3680,33.64,1.0139,55.59,-2.69,1846,1834,-0.0557,1.0126,63.86,3838,0.0013
M5,rsi,128,0.08,0.5,10,all,fft_clock,3.227014877448357,1855,32.83,0.9775,61.04,-37.06,884,971,9261,33.55,1.0099,79.74,-26.87,4518,4743,0.0324,1.0086,82.5,9660,0.0013
M5,derivative,128,0.08,0.3,20,all,fft_clock,3.877234293053623,14664,24.11,0.9548,99.96,-99.92,7331,7333,68470,24.42,0.9702,100.0,-100.0,34229,34241,0.0154,0.9689,100.0,72293,0.0013
M5,derivative,128,0.1,0.3,20,all,fft_clock,2.366745156801884,14895,24.11,0.9545,99.97,-99.93,7448,7447,69650,24.42,0.9702,100.0,-100.0,34809,34841,0.0157,0.9689,100.0,72293,0.0013
M5,derivative,128,0.06,0.5,20,asian,fft_clock,3.4317135823611262,4927,25.57,1.0314,84.28,50.62,2471,2456,23416,25.42,1.0229,91.41,64.01,11638,11778,-0.0085,1.0217,94.97,24504,0.0012
M5,derivative,128,0.08,0.3,10,asian,fft_clock,3.739430589746334,4912,25.53,1.029,85.17,38.09,2468,2444,23311,25.42,1.0228,90.88,61.7,11590,11721,-0.0062,1.0217,94.97,24504,0.0011
M5,rsi,64,0.1,0.5,10,london,fft_clock,7.811998287487959,598,31.1,0.9029,48.94,-36.71,293,305,3124,33.58,1.0111,45.45,-7.83,1535,1589,0.1082,1.01,46.69,3460,0.0011
M5,derivative,128,0.1,0.3,20,london,fft_clock,2.366745156801884,5654,23.24,0.9117,99.42,-99.01,2833,2821,24593,24.72,0.9881,99.86,-99.7,12310,12283,0.0764,0.987,99.92,25604,0.0011
M5,derivative,128,0.08,0.5,10,all,fft_clock,3.227014877448357,14760,24.09,0.9533,99.97,-99.94,7381,7379,69050,24.41,0.97,100.0,-100.0,34530,34520,0.0167,0.9689,100.0,72293,0.0011
M5,derivative,128,0.1,0.3,10,all,fft_clock,2.360055656641336,14888,24.08,0.953,99.97,-99.94,7449,7439,69688,24.41,0.97,100.0,-100.0,34828,34860,0.017,0.9689,100.0,72293,0.0011
M5,derivative,128,0.1,0.5,10,all,fft_clock,2.1005030504120734,14938,24.11,0.9544,99.97,-99.93,7471,7467,69942,24.41,0.97,100.0,-100.0,34964,34978,0.0156,0.9689,100.0,72293,0.0011
M5,derivative,128,0.1,0.5,20,all,fft_clock,1.8837632452103177,14966,24.11,0.9548,99.97,-99.93,7480,7486,70144,24.41,0.97,100.0,-100.0,35055,35089,0.0152,0.9689,100.0,72293,0.0011
M5,derivative,128,0.08,0.5,10,asian,fft_clock,3.227014877448357,4945,25.54,1.0296,83.65,41.56,2480,2465,23466,25.42,1.0227,91.77,59.6,11678,11788,-0.0069,1.0217,94.97,24504,0.001
M5,derivative,128,0.08,0.3,10,all,fft_clock,3.739430589746334,14670,24.08,0.9532,99.97,-99.93,7341,7329,68582,24.41,0.9699,100.0,-100.0,34275,34307,0.0167,0.9689,100.0,72293,0.001
M5,derivative,128,0.08,0.3,20,asian,fft_clock,3.877234293053623,4916,25.57,1.0312,82.94,49.38,2466,2450,23304,25.42,1.0226,91.77,54.05,11591,11713,-0.0086,1.0217,94.97,24504,0.0009
M5,rsi,128,0.08,0.3,10,london,fft_clock,3.739430589746334,634,31.23,0.9083,53.22,-36.94,311,323,3300,33.58,1.0109,42.13,-8.52,1628,1672,0.1026,1.01,46.69,3460,0.0009
M5,derivative,0,0.0,0.0,0,london,time_clock,8.328427699882266,5277,23.5,0.9251,98.35,-97.67,2640,2637,23212,24.72,0.9879,99.84,-99.6,11581,11631,0.0628,0.987,99.92,25604,0.0009
M5,derivative,128,0.06,0.3,10,newyork,fft_clock,4.300010703200257,4798,22.3,0.8627,99.72,-99.69,2415,2383,22805,23.19,0.9063,100.0,-100.0,11412,11393,0.0436,0.9055,100.0,24295,0.0008
M5,derivative,128,0.06,0.3,20,all,fft_clock,4.718773413250562,14538,24.16,0.9575,99.94,-99.89,7266,7272,67762,24.4,0.9695,100.0,-100.0,33870,33892,0.012,0.9689,100.0,72293,0.0006
M5,derivative,128,0.06,0.5,10,newyork,fft_clock,3.621695386920689,4838,22.24,0.8597,99.75,-99.74,2435,2403,23000,23.18,0.906,100.0,-100.0,11517,11483,0.0463,0.9055,100.0,24295,0.0005
