tf,strategy,fft_n,ratio_thresh,pers_thresh,pers_window,session_label,filter_type,clock_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain
M15,rsi,128,0.08,0.3,10,asian,fft_clock,8.856695694048717,269,33.46,1.0056,27.41,-1.66,122,147,1256,32.88,0.9798,42.37,-25.47,616,640,-0.0258,0.9563,53.45,1419,0.0235
M15,rsi,128,0.06,0.3,20,london,fft_clock,10.827079738352262,284,30.99,0.9026,27.75,-19.52,130,154,1242,34.86,1.0705,42.4,55.86,633,609,0.1679,1.0476,40.85,1376,0.0229
M15,rsi,128,0.08,0.3,20,asian,fft_clock,9.117540832296642,267,33.33,1.0,29.54,-2.62,122,145,1251,32.85,0.9786,43.48,-26.17,612,639,-0.0214,0.9563,53.45,1419,0.0223
M15,rsi,128,0.08,0.3,10,all,fft_clock,8.856695694048717,644,32.76,0.9769,47.4,-15.07,289,355,2988,33.67,1.0151,58.02,0.17,1493,1495,0.0382,0.9929,67.17,3349,0.0222
M15,rsi,128,0.1,0.3,20,newyork,fft_clock,6.127854247762751,132,35.61,1.119,22.52,9.03,61,71,575,32.87,0.9793,37.29,-12.78,287,288,-0.1397,0.9571,44.48,621,0.0222
M15,rsi,128,0.08,0.3,20,all,fft_clock,9.117540832296642,637,32.97,0.9859,45.8,-11.56,285,352,2980,33.66,1.0147,60.39,-0.75,1482,1498,0.0288,0.9929,67.17,3349,0.0218
M15,rsi,128,0.08,0.5,10,all,fft_clock,7.849432160199045,649,32.67,0.9725,47.94,-16.79,290,359,3016,33.65,1.0145,57.19,-1.1,1502,1514,0.042,0.9929,67.17,3349,0.0216
M15,rsi,128,0.08,0.5,10,asian,fft_clock,7.849432160199045,272,33.09,0.989,28.85,-4.58,123,149,1267,32.83,0.9777,44.12,-27.02,622,645,-0.0113,0.9563,53.45,1419,0.0214
M15,rsi,128,0.08,0.5,20,asian,fft_clock,7.416027930494804,273,33.33,1.0,29.58,-2.68,126,147,1277,32.81,0.9767,42.47,-27.81,629,648,-0.0233,0.9563,53.45,1419,0.0204
M15,rsi,128,0.1,0.3,10,newyork,fft_clock,6.15995826477788,131,35.88,1.1325,21.69,10.14,61,70,570,32.81,0.9765,37.27,-13.6,287,283,-0.156,0.9571,44.48,621,0.0194
M15,rsi,128,0.08,0.5,20,all,fft_clock,7.416027930494804,651,32.87,0.9817,48.99,-13.43,293,358,3041,33.57,1.0109,64.97,-7.98,1513,1528,0.0292,0.9929,67.17,3349,0.018
M15,rsi,128,0.06,0.5,20,london,fft_clock,8.335005417552871,292,31.16,0.91,27.09,-18.78,133,159,1269,34.75,1.0652,44.18,50.87,646,623,0.1552,1.0476,40.85,1376,0.0176
M15,rsi,128,0.1,0.5,10,newyork,fft_clock,5.666359003170272,133,36.09,1.1429,22.47,11.22,61,72,577,32.76,0.9742,36.04,-14.52,288,289,-0.1687,0.9571,44.48,621,0.0171
M15,rsi,0,0.0,0.0,0,london,time_clock,24.99297724627794,232,32.33,0.9615,27.66,-7.93,110,122,979,34.73,1.0642,26.58,36.44,489,490,0.1027,1.0476,40.85,1376,0.0166
M15,rsi,128,0.1,0.5,20,newyork,fft_clock,5.281110798988724,133,35.34,1.1059,22.52,7.94,62,71,581,32.7,0.9719,39.76,-15.4,289,292,-0.134,0.9571,44.48,621,0.0148
M15,rsi,0,0.0,0.0,0,asian,time_clock,24.99297724627794,228,33.77,1.0199,24.85,0.72,109,119,1063,32.64,0.9693,43.97,-27.71,519,544,-0.0506,0.9563,53.45,1419,0.013
M15,derivative,64,0.08,0.5,20,london,fft_clock,11.822304265821261,1537,24.66,0.9827,70.7,-34.65,770,767,7116,24.13,0.9606,98.15,-95.66,3571,3545,-0.0221,0.948,99.36,8277,0.0126
M15,derivative,64,0.06,0.5,20,london,fft_clock,11.930655323247322,1535,24.69,0.9844,70.7,-33.33,769,766,7093,24.11,0.9596,98.27,-95.86,3559,3534,-0.0248,0.948,99.36,8277,0.0116
M1,rsi,64,0.06,0.3,20,asian,fft_clock,5.506413269760258,3371,35.0,1.0791,49.98,300.29,1710,1661,16221,35.34,1.0944,69.81,375493.88,8078,8143,0.0153,1.0833,72.55,17436,0.0111
M15,rsi,128,0.08,0.3,20,london,fft_clock,9.117540832296642,287,31.01,0.9036,27.77,-19.55,131,156,1260,34.6,1.0583,43.15,42.26,643,617,0.1547,1.0476,40.85,1376,0.0107
M15,derivative,64,0.1,0.5,20,london,fft_clock,11.477186082908624,1551,24.44,0.971,73.23,-43.23,776,775,7147,24.08,0.9581,98.48,-96.28,3587,3560,-0.0129,0.948,99.36,8277,0.0101
M1,rsi,64,0.08,0.5,10,asian,fft_clock,4.053186488482977,3421,35.14,1.0858,48.49,371.77,1731,1690,16517,35.32,1.0933,68.27,390919.85,8228,8289,0.0075,1.0833,72.55,17436,0.01
M1,rsi,64,0.06,0.5,10,asian,fft_clock,4.090793096501242,3421,35.14,1.0858,48.49,371.77,1731,1690,16509,35.31,1.093,68.27,375960.17,8223,8286,0.0072,1.0833,72.55,17436,0.0097
M15,rsi,128,0.08,0.5,20,london,fft_clock,7.416027930494804,293,31.4,0.92,25.63,-17.16,134,159,1281,34.58,1.0573,45.98,41.96,653,628,0.1373,1.0476,40.85,1376,0.0097
M15,rsi,64,0.06,0.3,20,all,fft_clock,18.748745936835345,572,33.04,0.9895,46.07,-9.2,255,317,2669,33.38,1.0022,45.52,-20.18,1311,1358,0.0127,0.9929,67.17,3349,0.0093
M1,rsi,64,0.08,0.3,10,asian,fft_clock,5.248270767577731,3371,35.09,1.0833,50.84,337.79,1708,1663,16275,35.3,1.0923,67.92,312219.24,8106,8169,0.009,1.0833,72.55,17436,0.009
M1,rsi,64,0.1,0.5,10,asian,fft_clock,3.885031226915587,3425,35.12,1.0853,48.49,366.91,1734,1691,16561,35.3,1.0923,69.21,359423.34,8252,8309,0.007,1.0833,72.55,17436,0.009
M1,rsi,64,0.08,0.3,20,asian,fft_clock,5.034987576388422,3390,35.04,1.081,48.98,319.92,1720,1670,16312,35.3,1.0923,70.11,317328.3,8127,8185,0.0113,1.0833,72.55,17436,0.009
M15,rsi,128,0.1,0.3,20,all,fft_clock,6.127854247762751,659,33.23,0.9977,46.93,-7.26,296,363,3086,33.38,1.0019,62.53,-23.42,1537,1549,0.0042,0.9929,67.17,3349,0.009
M1,rsi,64,0.06,0.3,10,asian,fft_clock,5.368611913236183,3367,35.05,1.0811,51.43,316.71,1706,1661,16254,35.3,1.0921,67.92,303666.47,8093,8161,0.011,1.0833,72.55,17436,0.0088
M15,derivative,64,0.06,0.3,20,london,fft_clock,18.748745936835345,1416,24.79,0.9897,65.93,-27.27,712,704,6515,24.05,0.9568,98.04,-95.3,3271,3244,-0.0329,0.948,99.36,8277,0.0088
M15,rsi,128,0.1,0.3,10,all,fft_clock,6.15995826477788,660,33.18,0.9955,47.44,-8.18,298,362,3084,33.37,1.0015,62.58,-24.16,1540,1544,0.006,0.9929,67.17,3349,0.0086
M15,rsi,128,0.1,0.3,20,asian,fft_clock,6.127854247762751,277,32.85,0.9785,30.29,-6.51,126,151,1306,32.54,0.9648,46.9,-35.48,648,658,-0.0137,0.9563,53.45,1419,0.0085
M1,rsi,64,0.1,0.3,10,asian,fft_clock,4.895843126720838,3381,35.05,1.0817,51.35,324.54,1711,1670,16340,35.29,1.0917,68.88,304094.19,8138,8202,0.01,1.0833,72.55,17436,0.0084
M15,rsi,0,0.0,0.0,0,newyork,time_clock,24.99297724627794,109,34.86,1.0857,20.08,5.02,55,54,430,32.56,0.9655,30.45,-13.26,216,214,-0.1202,0.9571,44.48,621,0.0084
M1,rsi,64,0.1,0.3,20,asian,fft_clock,4.428446712779531,3409,35.02,1.0805,49.5,319.17,1727,1682,16449,35.28,1.0916,71.3,316168.73,8189,8260,0.0111,1.0833,72.55,17436,0.0083
M15,derivative,128,0.06,0.3,20,london,fft_clock,10.827079738352262,1536,23.76,0.9359,75.1,-62.09,768,768,7276,24.04,0.9561,98.62,-96.85,3654,3622,0.0202,0.948,99.36,8277,0.0081
M15,derivative,64,0.06,0.3,10,london,fft_clock,16.834543922308278,1457,24.3,0.9637,69.87,-45.75,730,727,6645,24.02,0.9549,97.77,-95.99,3337,3308,-0.0088,0.948,99.36,8277,0.0069
M1,rsi,64,0.06,0.3,10,london,fft_clock,5.368611913236183,3244,35.97,1.1325,47.92,997.83,1621,1623,16723,34.91,1.0808,69.25,113351.43,8391,8332,-0.0517,1.0741,71.93,17917,0.0067
M15,rsi,128,0.1,0.5,10,all,fft_clock,5.666359003170272,664,33.13,0.9932,47.46,-9.13,298,366,3103,33.32,0.9995,63.3,-27.26,1546,1557,0.0063,0.9929,67.17,3349,0.0066
M15,rsi,128,0.1,0.5,20,all,fft_clock,5.281110798988724,667,32.98,0.9865,49.03,-11.83,302,365,3118,33.32,0.9995,67.47,-27.36,1555,1563,0.013,0.9929,67.17,3349,0.0066
M15,derivative,64,0.08,0.3,20,london,fft_clock,18.32738071351178,1427,24.67,0.9832,66.63,-32.25,719,708,6572,24.01,0.9546,98.2,-95.91,3301,3271,-0.0286,0.948,99.36,8277,0.0066
M5,rsi,128,0.08,0.3,10,asian,fft_clock,3.739430589746334,768,34.77,1.0659,31.63,28.67,400,368,3644,33.75,1.0191,55.51,10.05,1823,1821,-0.0468,1.0126,63.86,3838,0.0065
M5,rsi,0,0.0,0.0,0,newyork,time_clock,8.328427699882266,422,34.6,1.058,33.99,12.44,173,249,2217,33.15,0.9919,65.73,-28.8,1042,1175,-0.0661,0.9854,67.82,2461,0.0065
M5,derivative,0,0.0,0.0,0,newyork,time_clock,8.328427699882266,4521,22.21,0.8581,99.72,-99.63,2257,2264,21484,23.3,0.912,100.0,-100.0,10680,10804,0.0539,0.9055,100.0,24295,0.0065
M1,rsi,64,0.08,0.3,10,london,fft_clock,5.248270767577731,3247,35.97,1.1323,48.44,997.51,1622,1625,16746,34.9,1.0805,68.95,110862.01,8402,8344,-0.0518,1.0741,71.93,17917,0.0064
M5,rsi,128,0.08,0.5,10,asian,fft_clock,3.227014877448357,772,34.59,1.0574,31.63,23.6,402,370,3666,33.74,1.0185,57.71,8.72,1836,1830,-0.0389,1.0126,63.86,3838,0.0059
M15,derivative,64,0.08,0.3,10,london,fft_clock,16.786387896785584,1458,24.28,0.9628,69.87,-46.3,731,727,6651,24.0,0.9538,97.86,-96.23,3341,3310,-0.009,0.948,99.36,8277,0.0058
M15,rsi,128,0.1,0.5,20,asian,fft_clock,5.281110798988724,281,32.74,0.9735,31.0,-7.47,129,152,1318,32.47,0.9618,48.52,-37.45,657,661,-0.0117,0.9563,53.45,1419,0.0055
M15,derivative,128,0.08,0.3,20,london,fft_clock,9.117540832296642,1570,23.89,0.9422,72.92,-59.97,783,787,7414,23.98,0.9534,98.88,-97.47,3728,3686,0.0112,0.948,99.36,8277,0.0054
M15,derivative,128,0.1,0.3,20,london,fft_clock,6.127854247762751,1612,23.95,0.9453,74.06,-59.42,802,810,7665,23.98,0.9533,98.85,-97.77,3849,3816,0.008,0.948,99.36,8277,0.0053
