tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,0.5,70,3.0,london,fft_cycle,64,0.03,10,51.6,787,24.9,1.0326,38.84,7.89,375,412,4441,23.85,0.9551,97.15,-88.88,2295,2146,-0.0775,0.9045,100.0,46601,0.0506,2.85,True
M5,5,0.5,70,3.0,london,fft_cycle,64,0.05,10,48.3,787,24.9,1.0326,38.84,7.89,375,412,4441,23.85,0.9551,97.15,-88.88,2295,2146,-0.0775,0.9045,100.0,46601,0.0506,2.85,True
M5,5,0.5,70,2.0,london,fft_cycle,64,0.03,10,51.6,787,33.42,0.9331,47.84,-35.95,375,412,4441,34.18,0.9521,94.65,-85.5,2295,2146,0.019,0.8786,100.0,46601,0.0735,5.35,True
M5,5,0.5,70,2.0,london,fft_cycle,64,0.05,10,48.3,787,33.42,0.9331,47.84,-35.95,375,412,4441,34.18,0.9521,94.65,-85.5,2295,2146,0.019,0.8786,100.0,46601,0.0735,5.35,True
M5,5,0.5,30,3.0,london,fft_cycle,64,0.03,10,51.6,451,23.5,0.9931,40.69,-8.62,200,251,2537,23.81,0.9459,93.23,-76.31,1326,1211,-0.0472,0.9026,100.0,26525,0.0433,6.77,True
M5,5,0.5,30,3.0,london,fft_cycle,64,0.05,10,48.3,451,23.5,0.9931,40.69,-8.62,200,251,2537,23.81,0.9459,93.23,-76.31,1326,1211,-0.0472,0.9026,100.0,26525,0.0433,6.77,True
M5,5,0.5,30,2.0,london,fft_cycle,64,0.03,10,51.6,451,32.15,0.8731,49.91,-36.45,200,251,2537,33.98,0.9425,92.16,-72.04,1326,1211,0.0694,0.8699,100.0,26525,0.0726,7.84,True
M5,5,0.5,30,2.0,london,fft_cycle,64,0.05,10,48.3,451,32.15,0.8731,49.91,-36.45,200,251,2537,33.98,0.9425,92.16,-72.04,1326,1211,0.0694,0.8699,100.0,26525,0.0726,7.84,True
M5,5,0.5,30,2.0,all,full_confl,64,0.05,10,48.3,771,32.04,0.9082,59.97,-43.41,317,454,4201,33.06,0.9425,93.4,-87.53,2121,2080,0.0343,0.8468,100.0,74625,0.0957,6.6,True
M5,5,0.5,30,2.0,all,full_confl,64,0.03,10,51.6,804,31.59,0.8879,62.93,-50.9,336,468,4455,33.13,0.9424,94.74,-89.05,2245,2210,0.0545,0.8468,100.0,74625,0.0956,5.26,True
M5,5,0.3,30,3.0,london,full_confl,64,0.05,5,48.3,424,26.89,1.2003,21.98,73.44,223,201,2344,23.55,0.9379,93.09,-77.05,1131,1213,-0.2624,0.8923,100.0,15909,0.0456,6.91,True
M5,5,0.5,30,3.0,london,full_confl,64,0.03,5,51.6,746,24.53,1.0443,49.11,14.73,396,350,4153,23.38,0.9372,98.96,-92.77,1994,2159,-0.1071,0.9026,100.0,26525,0.0346,1.04,True
M5,5,0.5,30,3.0,london,full_confl,64,0.05,5,48.3,698,24.79,1.0564,42.6,21.03,370,328,3962,23.4,0.9362,98.81,-92.1,1905,2057,-0.1202,0.9026,100.0,26525,0.0336,1.19,True
M5,5,0.5,70,2.0,london,full_confl,64,0.03,10,51.6,499,35.67,1.0196,40.61,1.53,228,271,2900,33.76,0.9361,90.05,-79.58,1466,1434,-0.0835,0.8786,100.0,46601,0.0575,9.95,True
M5,5,0.3,30,3.0,london,full_confl,64,0.03,5,51.6,446,26.91,1.1981,25.25,77.22,237,209,2466,23.52,0.935,94.4,-79.91,1184,1282,-0.2631,0.8923,100.0,15909,0.0427,5.6,True
M5,5,0.3,30,2.0,all,full_confl,64,0.05,10,48.3,449,32.29,0.9005,53.88,-30.19,178,271,2513,32.83,0.9347,85.09,-74.89,1246,1267,0.0342,0.8465,100.0,44934,0.0882,14.91,True
M5,5,0.3,30,2.0,all,full_confl,64,0.03,10,51.6,471,32.06,0.8874,52.53,-34.45,192,279,2651,32.78,0.9312,85.64,-78.19,1308,1343,0.0438,0.8465,100.0,44934,0.0847,14.36,True
M5,5,1.0,30,3.0,newyork,full_confl,128,0.05,10,58.6,710,16.06,0.9956,53.48,-10.24,368,342,3039,15.89,0.9311,93.86,-83.57,1558,1481,-0.0645,0.8801,100.0,48754,0.051,6.14,True
M5,5,0.5,70,2.0,london,full_confl,64,0.05,10,48.3,468,35.68,1.0184,39.73,1.08,214,254,2747,33.64,0.9304,88.66,-80.15,1385,1362,-0.088,0.8786,100.0,46601,0.0518,11.34,True
M5,5,0.5,70,3.0,london,fft_cycle,64,0.03,5,51.6,1876,25.16,1.0246,65.83,7.1,979,897,10115,23.24,0.9295,99.97,-99.91,4972,5143,-0.0951,0.9045,100.0,46601,0.025,0.03,True
M5,5,0.5,70,3.0,london,fft_cycle,64,0.05,5,48.3,1876,25.16,1.0246,65.83,7.1,979,897,10115,23.24,0.9295,99.97,-99.91,4972,5143,-0.0951,0.9045,100.0,46601,0.025,0.03,True
M5,5,0.5,30,3.0,london,full_confl,64,0.03,10,51.6,296,22.97,0.9963,37.03,-5.03,126,170,1698,23.5,0.9294,89.57,-69.33,863,835,-0.0669,0.9026,100.0,26525,0.0268,10.43,True
M5,5,1.0,30,3.0,london,full_confl,128,0.05,10,58.6,672,22.32,0.8536,67.46,-58.63,350,322,3318,24.02,0.9287,94.28,-90.36,1752,1566,0.0751,0.9171,100.0,53382,0.0116,5.72,True
M5,5,0.5,30,3.0,london,fft_cycle,64,0.03,5,51.6,1078,24.4,1.0202,56.67,0.48,567,511,5833,23.35,0.9267,99.73,-98.48,2854,2979,-0.0935,0.9026,100.0,26525,0.0241,0.27,True
M5,5,0.5,30,3.0,london,fft_cycle,64,0.05,5,48.3,1078,24.4,1.0202,56.67,0.48,567,511,5833,23.35,0.9267,99.73,-98.48,2854,2979,-0.0935,0.9026,100.0,26525,0.0241,0.27,True
M5,5,0.3,70,3.0,london,full_confl,128,0.05,5,58.6,921,24.32,1.0051,47.24,-9.55,428,493,4724,23.5,0.9261,97.74,-96.7,2250,2474,-0.079,0.901,100.0,29651,0.0251,2.26,True
