tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M1,5,0.3,70,2.0,asian,full_confl,64,0.05,5,50.0,3935,28.92,0.9731,81.24,-62.18,1968,1967,18929,29.57,0.9883,98.77,-95.05,9532,9397,0.0152,0.9799,100.0,127536,0.0084,1.23,True
M1,5,0.5,70,2.0,asian,fft_cycle,64,0.03,5,53.2,8962,28.69,0.9642,96.93,-93.18,4478,4484,43600,29.48,0.9883,99.94,-99.9,21877,21723,0.0241,0.9755,100.0,195824,0.0128,0.06,True
M1,5,0.5,70,2.0,asian,fft_cycle,64,0.05,5,50.0,8962,28.69,0.9642,96.93,-93.18,4478,4484,43600,29.48,0.9883,99.94,-99.9,21877,21723,0.0241,0.9755,100.0,195824,0.0128,0.06,True
M1,5,0.3,70,2.0,newyork,baseline,0,0.0,0,0.0,27490,26.42,0.9277,100.0,-100.0,13085,14405,128504,27.75,0.9882,100.0,-100.0,61732,66772,0.0605,0.9882,100.0,128504,0.0,0.0,True
M1,5,0.3,30,2.0,asian,full_confl,64,0.03,10,53.2,957,31.35,1.107,37.89,63.8,459,498,4781,29.37,0.988,74.15,-53.24,2444,2337,-0.119,0.9799,100.0,71276,0.0081,25.85,True
M1,5,0.3,30,2.0,asian,full_confl,64,0.05,10,50.0,916,31.33,1.0954,37.27,51.74,436,480,4510,29.33,0.9866,70.27,-53.05,2316,2194,-0.1088,0.9799,100.0,71276,0.0067,29.73,True
M1,5,0.5,30,2.0,asian,full_confl,64,0.03,5,53.2,3695,29.28,1.0042,67.9,-20.71,1836,1859,17832,29.44,0.9862,98.59,-95.23,8911,8921,-0.018,0.9739,100.0,113973,0.0123,1.41,True
M1,5,0.3,30,2.0,asian,fft_cycle,64,0.03,5,53.2,3158,29.29,0.9984,64.62,-26.35,1551,1607,15851,29.31,0.9861,96.42,-93.29,7907,7944,-0.0123,0.9799,100.0,71276,0.0062,3.58,True
M1,5,0.3,30,2.0,asian,fft_cycle,64,0.05,5,50.0,3158,29.29,0.9984,64.62,-26.35,1551,1607,15851,29.31,0.9861,96.42,-93.29,7907,7944,-0.0123,0.9799,100.0,71276,0.0062,3.58,True
M1,5,0.3,30,2.0,all,baseline,0,0.0,0,0.0,44295,27.25,0.9517,100.0,-100.0,21455,22840,214969,28.41,0.9858,100.0,-100.0,105552,109417,0.0341,0.9858,100.0,214969,0.0,0.0,True
M1,5,0.5,70,2.0,newyork,baseline,0,0.0,0,0.0,41587,26.61,0.9412,100.0,-100.0,19922,21665,193388,27.63,0.9847,100.0,-100.0,93252,100136,0.0435,0.9847,100.0,193388,0.0,0.0,True
