tf,fp,tol,lb,rr,session_label,filter_mode,fft_n,delta,min_period,fft_pct,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,valid
M5,5,0.3,30,2.0,asian,full_confl,64,0.05,5,48.3,378,35.19,1.0857,14.53,18.7,189,189,2145,35.43,1.0975,42.36,209.65,1057,1088,0.0118,0.9945,97.69,14690,0.103,55.33,True
M5,5,0.3,30,2.0,asian,full_confl,128,0.03,10,62.6,179,39.11,1.2844,15.76,33.74,88,91,917,35.33,1.0927,51.02,57.81,462,455,-0.1917,0.9945,97.69,14690,0.0982,46.67,True
M5,5,0.3,30,2.0,asian,full_confl,128,0.05,10,58.6,170,38.82,1.2692,15.76,29.92,82,88,875,35.31,1.0919,51.98,53.81,440,435,-0.1773,0.9945,97.69,14690,0.0974,45.71,True
M5,5,0.5,70,2.0,asian,full_confl,64,0.05,10,48.3,397,34.26,1.0421,31.42,7.25,184,213,2376,35.27,1.0904,49.12,214.95,1234,1142,0.0483,1.0094,99.64,41602,0.081,50.52,True
M5,5,0.3,70,2.0,asian,fft_cycle,64,0.03,10,51.6,427,34.43,1.05,25.42,10.17,212,215,2448,35.25,1.0896,50.65,222.18,1280,1168,0.0396,1.0039,98.69,26419,0.0857,48.04,True
M5,5,0.3,70,2.0,asian,fft_cycle,64,0.05,10,48.3,427,34.43,1.05,25.42,10.17,212,215,2448,35.25,1.0896,50.65,222.18,1280,1168,0.0396,1.0039,98.69,26419,0.0857,48.04,True
M5,5,0.3,30,3.0,asian,full_confl,64,0.03,5,51.6,398,25.63,1.0515,30.15,9.46,201,197,2240,26.34,1.0892,45.32,202.8,1098,1142,0.0377,1.0126,96.86,14690,0.0766,51.54,True
M5,5,0.3,70,2.0,newyork,full_confl,64,0.05,10,48.3,239,30.13,0.9412,25.9,-10.59,104,135,1330,32.18,1.0891,46.72,77.88,629,701,0.1479,1.0226,99.76,26204,0.0665,53.04,True
M5,5,0.3,70,2.0,asian,full_confl,128,0.05,10,58.6,307,35.5,1.101,20.78,18.36,145,162,1509,35.26,1.089,57.88,104.59,737,772,-0.012,1.0039,98.69,26419,0.0851,40.81,True
M5,5,0.5,30,2.0,all,full_confl,64,0.03,10,51.6,804,31.72,1.0,50.8,-7.32,336,468,4455,33.38,1.0842,60.79,554.33,2245,2210,0.0842,0.9926,100.0,74625,0.0916,39.21,True
M5,5,0.3,30,2.0,asian,full_confl,64,0.03,5,51.6,398,35.68,1.1094,15.81,27.01,201,197,2240,35.13,1.0833,44.15,166.85,1098,1142,-0.0261,0.9945,97.69,14690,0.0888,53.54,True
M5,5,0.5,30,2.0,all,full_confl,64,0.05,10,48.3,771,32.17,1.0227,50.23,3.73,317,454,4201,33.33,1.0832,62.48,471.77,2121,2080,0.0605,0.9926,100.0,74625,0.0906,37.52,True
M5,5,0.3,70,2.0,newyork,full_confl,64,0.05,5,48.3,751,31.42,0.9732,51.28,-18.21,324,427,3398,32.52,1.0823,60.62,289.28,1645,1753,0.1091,1.0226,99.76,26204,0.0597,39.14,True
M5,5,0.3,70,2.0,asian,full_confl,128,0.03,10,62.6,320,35.31,1.0918,20.78,17.03,152,168,1584,35.1,1.0817,56.3,97.09,774,810,-0.0101,1.0039,98.69,26419,0.0778,42.39,True
