tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,100,1.5,1.0,4.0,asian,1616,20.05,1.0031,61.18,-24.23,7889,20.56,1.0353,92.01,87.86,9505,4683,4822,6.865996843766439
M5,100,1.5,1.0,3.0,asian,1616,24.63,0.9803,65.58,-37.93,7889,25.59,1.0319,86.09,98.13,9505,4683,4822,5.217001578116781
M5,100,2.0,1.0,3.0,asian,1515,24.82,0.9903,58.3,-28.34,7219,25.46,1.0247,90.1,28.17,8734,4315,4419,5.182653995878177
M5,100,2.0,1.0,2.0,asian,1515,33.07,0.9882,47.93,-23.66,7219,33.79,1.0205,76.6,29.43,8734,4315,4419,3.382653995878177
M5,100,2.0,1.0,4.0,asian,1515,19.47,0.9672,69.76,-49.91,7219,20.18,1.0115,93.5,-53.49,8734,4315,4419,6.765307991756354
M5,100,1.5,1.0,2.0,asian,1616,33.85,1.0234,43.55,9.22,7889,33.58,1.0111,82.96,-18.67,9505,4683,4822,3.382998421883219
M5,100,1.5,1.5,2.0,asian,1616,31.75,0.9302,74.91,-60.42,7889,33.58,1.0111,87.85,-18.67,9505,4683,4822,7.768006312467122
M5,100,2.0,1.5,2.0,asian,1515,32.34,0.9561,60.2,-45.03,7219,33.55,1.0098,89.05,-22.08,8734,4315,4419,7.8
M5,100,2.0,1.5,4.0,asian,1515,18.35,0.8997,81.97,-78.1,7219,20.13,1.0083,96.18,-61.03,8734,4315,4419,14.625498053583696
M5,50,1.5,1.0,2.0,asian,1963,33.57,1.0107,60.75,-5.42,9641,33.47,1.0062,88.98,-42.87,11604,5752,5852,3.383083419510514
M5,20,3.0,1.0,4.0,london,297,17.85,0.8689,36.16,-31.17,1626,20.05,1.0038,66.73,-23.62,1923,950,973,13.85210608424337
M5,100,2.5,1.0,2.0,asian,1327,32.48,0.9621,57.44,-37.51,6570,33.35,1.0007,91.24,-46.36,7897,3988,3909,3.4
M5,100,3.0,1.0,2.0,asian,1164,32.39,0.9581,44.86,-35.85,5765,33.32,0.9995,85.33,-44.71,6929,3592,3337,3.4496031173329484
M5,100,1.5,1.0,2.0,london,1494,32.8,0.9761,59.49,-32.11,7020,33.29,0.9981,91.04,-54.48,8514,4088,4426,6.782452431289641
M5,100,2.5,1.5,4.0,asian,1327,19.07,0.9458,71.62,-56.44,6570,19.89,0.9949,94.77,-78.84,7897,3988,3909,14.888134734709384
M5,100,1.5,1.5,3.0,asian,1616,23.82,0.9383,79.85,-62.91,7889,24.9,0.9946,96.18,-77.34,9505,4683,4822,11.331993687532878
M5,100,1.5,1.5,4.0,asian,1616,18.75,0.9231,84.28,-73.08,7889,19.9,0.994,98.54,-85.36,9505,4683,4822,14.502009468700685
M5,100,2.0,1.5,3.0,asian,1515,23.63,0.9283,71.67,-64.87,7219,24.85,0.9921,97.02,-77.57,8734,4315,4419,11.465307991756355
M5,50,1.5,1.5,4.0,asian,1963,19.61,0.9772,84.41,-52.26,9641,19.81,0.989,99.18,-93.46,11604,5752,5852,14.436832126852806
M5,50,1.5,1.0,3.0,asian,1963,25.37,1.0198,74.83,-0.35,9641,24.78,0.9883,97.55,-89.66,11604,5752,5852,5.183083419510513
M5,50,1.5,1.0,4.0,asian,1963,20.07,1.0045,76.13,-27.1,9641,19.8,0.9876,97.25,-94.14,11604,5752,5852,6.7
M5,100,2.0,1.0,3.0,london,1370,25.4,1.0215,73.21,1.51,6563,24.74,0.9864,94.25,-80.51,7933,3772,4161,11.279112567754947
M5,100,2.5,1.0,3.0,asian,1327,24.27,0.9612,71.69,-44.16,6570,24.72,0.985,97.37,-81.83,7897,3988,3909,5.2
M5,50,2.0,1.0,4.0,asian,1704,19.37,0.9607,69.75,-57.95,8336,19.73,0.9834,98.16,-93.47,10040,5091,4949,6.56605577689243
M5,100,1.5,1.5,2.0,london,1494,30.92,0.8953,75.78,-70.57,7020,32.95,0.9832,94.07,-77.31,8514,4088,4426,19.224524312896406
M5,50,1.5,1.5,2.0,asian,1963,33.27,0.9969,68.24,-20.93,9641,32.91,0.9811,96.85,-88.6,11604,5752,5852,7.816916580489487
M5,100,1.5,1.0,4.0,london,1494,18.74,0.9226,83.29,-70.46,7020,19.66,0.9794,97.19,-91.95,8514,4088,4426,17.131501057082453
M5,100,2.5,1.0,4.0,asian,1327,19.14,0.9469,76.67,-56.04,6570,19.67,0.9792,96.59,-90.68,7897,3988,3909,6.733607699126251
M5,100,1.5,1.0,3.0,london,1494,23.43,0.9178,82.83,-68.4,7020,24.59,0.9783,94.31,-88.67,8514,4088,4426,11.794714587737843
M5,100,3.0,1.0,2.0,london,1132,32.6,0.9672,60.72,-30.32,5307,32.82,0.9778,92.98,-73.1,6439,3112,3327,7.047258891132163
M5,50,3.0,1.5,4.0,asian,1023,17.4,0.8456,84.62,-77.26,5048,19.59,0.9763,98.58,-85.55,6071,3035,3036,14.768506012189096
M5,100,2.5,1.5,3.0,asian,1327,24.79,0.99,55.78,-25.57,6570,24.55,0.9762,96.23,-88.25,7897,3988,3909,11.452057743446877
M5,100,1.5,1.0,2.0,all,4254,32.13,0.947,91.35,-85.7,20114,32.77,0.9748,99.85,-99.54,24368,12041,12327,5.1
M5,50,1.5,1.5,3.0,asian,1963,24.2,0.9583,77.84,-59.52,9641,24.52,0.9746,98.91,-96.16,11604,5752,5852,11.301499482936919
M5,50,2.0,1.0,2.0,asian,1704,32.92,0.9816,51.61,-31.49,8336,32.75,0.974,94.63,-89.78,10040,5091,4949,3.36605577689243
M5,100,2.5,1.5,2.0,asian,1327,33.08,0.9887,54.84,-20.65,6570,32.74,0.9735,95.82,-83.75,7897,3988,3909,7.9336076991262505
M5,100,2.0,1.5,2.0,london,1370,33.43,1.0044,62.61,-9.18,6563,32.7,0.9724,92.0,-84.52,7933,3772,4161,18.6
M5,50,2.0,1.5,4.0,asian,1704,18.72,0.9226,82.22,-75.05,8336,19.54,0.9721,98.43,-96.91,10040,5091,4949,14.371553784860557
M5,100,1.5,1.0,3.0,all,4254,23.34,0.9135,98.18,-96.74,20114,24.46,0.9712,99.96,-99.93,24368,12041,12327,8.182542678923177
M5,50,2.0,1.0,3.0,asian,1704,24.77,0.9875,60.46,-33.68,8336,24.45,0.9708,98.22,-95.29,10040,5091,4949,5.149083665338646
M5,100,2.5,1.0,2.0,london,1280,32.11,0.9459,69.2,-44.84,5977,32.66,0.9704,89.71,-83.1,7257,3453,3804,6.758894860135042
M5,20,3.0,1.0,3.0,london,297,22.56,0.8739,31.38,-28.19,1626,24.42,0.9699,70.18,-45.5,1923,950,973,8.975663026521062
M5,100,1.5,1.5,3.0,london,1494,23.49,0.9229,75.16,-66.46,7020,24.37,0.9698,97.58,-92.73,8514,4088,4426,30.88583509513742
M5,20,3.0,1.5,4.0,london,297,17.85,0.887,31.44,-27.63,1626,19.25,0.9675,69.57,-51.76,1923,950,973,37.72854914196568
M5,50,2.5,1.5,4.0,asian,1334,17.84,0.8702,87.22,-81.0,6682,19.44,0.9672,98.71,-95.23,8016,3997,4019,14.749625748502995
M5,100,1.5,1.0,4.0,all,4254,19.28,0.9552,96.17,-90.48,20114,19.45,0.966,99.99,-99.99,24368,12041,12327,11.260341431385424
M5,100,1.5,1.5,2.0,all,4254,30.84,0.8919,98.22,-97.23,20114,32.55,0.9655,99.94,-99.87,24368,12041,12327,12.817457321076821
M5,20,3.0,1.0,2.0,london,297,31.31,0.9118,20.81,-18.83,1626,32.53,0.9653,63.45,-41.7,1923,950,973,4.66833073322933
M5,50,2.5,1.0,2.0,london,1304,32.29,0.9536,60.59,-41.58,6185,32.55,0.9652,91.4,-87.22,7489,3626,3863,6.782587795433303
M5,50,1.5,1.5,2.0,london,1969,31.69,0.9286,76.62,-68.36,9117,32.53,0.965,96.7,-95.24,11086,5340,5746,19.011194299116003
