tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,20,8,4,0.1,0.0,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,14,35.714285714285715,2.017900945340143,6.104108533071977,10.89595152716807,15,6,9,16.933333333333334
M15,20,8,4,0.1,0.02,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,14,35.714285714285715,2.017900945340143,6.104108533071977,10.89595152716807,15,6,9,16.933333333333334
M15,20,8,4,0.1,0.05,1.0,4.0,0,0.0,0.0,0.0,0.0,14,35.714285714285715,2.017900945340143,6.104108533071977,10.89595152716807,14,6,8,17.714285714285715
M15,20,8,2,0.1,0.0,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,15,33.33333333333333,1.8280179644844434,7.04555607139606,9.78405281739192,16,6,10,16.5625
M15,20,8,2,0.1,0.02,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,15,33.33333333333333,1.8280179644844434,7.04555607139606,9.78405281739192,16,6,10,16.5625
M15,20,8,2,0.1,0.05,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,15,33.33333333333333,1.8280179644844434,7.04555607139606,9.78405281739192,16,6,10,16.5625
M15,20,8,4,0.05,0.02,1.0,4.0,1,100.0,inf,0.0,3.929105098716823,16,31.25,1.6431752437830052,7.174846380693083,8.331535687207058,17,7,10,14.764705882352942
M15,20,8,4,0.05,0.05,1.0,4.0,0,0.0,0.0,0.0,0.0,16,31.25,1.6431752437830052,7.174846380693083,8.331535687207058,16,7,9,15.3125
M15,20,8,4,0.15,0.0,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,15,46.666666666666664,1.6127014067671754,5.175861369059353,5.537601047341423,16,7,9,13.125
M15,20,8,4,0.15,0.02,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,15,46.666666666666664,1.6127014067671754,5.175861369059353,5.537601047341423,16,7,9,13.125
M15,20,8,4,0.15,0.05,1.0,2.0,1,100.0,inf,0.0,2.173873968529483,15,46.666666666666664,1.6127014067671754,5.175861369059353,5.537601047341423,16,7,9,13.125
M15,20,8,4,0.1,0.0,1.0,2.0,1,100.0,inf,0.0,1.9645525493583893,15,46.666666666666664,1.6104468633775553,5.169283471440981,5.5504142742373475,16,7,9,12.75
M15,20,8,4,0.1,0.02,1.0,2.0,1,100.0,inf,0.0,1.9645525493583893,15,46.666666666666664,1.6104468633775553,5.169283471440981,5.5504142742373475,16,7,9,12.75
M15,20,8,4,0.1,0.05,1.0,2.0,0,0.0,0.0,0.0,0.0,15,46.666666666666664,1.6104468633775553,5.169283471440981,5.5504142742373475,15,7,8,13.533333333333333
M15,20,8,4,0.15,0.0,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,14,35.714285714285715,1.5444353615874484,6.110622228791114,5.560825543481451,15,6,9,16.4
M15,20,8,4,0.15,0.02,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,14,35.714285714285715,1.5444353615874484,6.110622228791114,5.560825543481451,15,6,9,16.4
M15,20,8,4,0.15,0.05,1.0,3.0,1,100.0,inf,0.0,3.2608109527939355,14,35.714285714285715,1.5444353615874484,6.110622228791114,5.560825543481451,15,6,9,16.4
M15,20,8,4,0.1,0.0,1.0,3.0,1,100.0,inf,0.0,2.946828824037606,14,35.714285714285715,1.5443992416096948,6.104108913395818,5.596994150213996,15,6,9,16.133333333333333
M15,20,8,4,0.1,0.02,1.0,3.0,1,100.0,inf,0.0,2.946828824037606,14,35.714285714285715,1.5443992416096948,6.104108913395818,5.596994150213996,15,6,9,16.133333333333333
M15,20,8,4,0.1,0.05,1.0,3.0,0,0.0,0.0,0.0,0.0,14,35.714285714285715,1.5443992416096948,6.104108913395818,5.596994150213996,14,6,8,16.857142857142858
