tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,4.0,newyork,2,50.0,3.6829,1.07,2.82,1,1,99.9,52.1,36,27.78,1.3914,10.68,10.62,14,22,-2.2915,0.8775,100.0,22571,0.5139,89.32,True
M5,full_confluence,128,0.05,10,0.12,10,1.5,4.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,32,28.12,1.3846,11.31,9.29,13,19,1.3846,0.831,100.0,72293,0.5536,88.69,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,52.1,77,33.77,1.382,14.54,21.58,37,40,1.0811,0.9156,100.0,26794,0.4664,85.46,True
M5,full_confluence,128,0.03,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,62.6,35,28.57,1.3775,10.18,10.21,14,21,-2.1611,0.8453,100.0,22571,0.5322,89.82,True
M5,full_confluence,128,0.03,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,62.6,53,33.96,1.3745,8.31,14.2,26,27,-inf,0.9156,100.0,26794,0.4589,91.69,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,58.6,57,33.33,1.3523,12.13,14.41,23,34,-1.3924,0.8824,100.0,22571,0.4699,87.87,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,52.1,57,33.33,1.3523,12.13,14.41,23,34,-1.3924,0.8824,100.0,22571,0.4699,87.87,True
M5,full_confluence,128,0.03,3,0.12,10,1.5,4.0,newyork,2,50.0,3.6829,1.07,2.82,1,1,99.9,62.6,59,27.12,1.3517,15.75,16.04,24,35,-2.3312,0.8775,100.0,22571,0.4742,84.25,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,62.6,36,33.33,1.346,11.54,8.71,14,22,-1.3987,0.8824,100.0,22571,0.4636,88.46,True
M5,fft_cycle_only,128,0.05,5,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,58.6,36,33.33,1.346,11.54,8.71,14,22,-1.3987,0.8824,100.0,22571,0.4636,88.46,True
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,52.1,36,33.33,1.346,11.54,8.71,14,22,-1.3987,0.8824,100.0,22571,0.4636,88.46,True
M5,fft_cycle_only,128,0.03,3,0.12,10,1.0,4.0,newyork,17,5.88,0.2254,15.92,-12.65,8,9,99.9,62.6,61,27.87,1.3405,18.34,16.49,25,36,1.1151,0.8453,100.0,22571,0.4952,81.66,True
M5,fft_cycle_only,128,0.05,3,0.12,10,1.0,4.0,newyork,17,5.88,0.2254,15.92,-12.65,8,9,99.9,58.6,61,27.87,1.3405,18.34,16.49,25,36,1.1151,0.8453,100.0,22571,0.4952,81.66,True
M5,fft_cycle_only,128,0.08,3,0.12,10,1.0,4.0,newyork,17,5.88,0.2254,15.92,-12.65,8,9,99.9,52.1,61,27.87,1.3405,18.34,16.49,25,36,1.1151,0.8453,100.0,22571,0.4952,81.66,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,62.6,36,27.78,1.3244,11.19,8.97,14,22,-2.2142,0.8453,100.0,22571,0.4791,88.81,True
M5,fft_cycle_only,128,0.05,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,58.6,36,27.78,1.3244,11.19,8.97,14,22,-2.2142,0.8453,100.0,22571,0.4791,88.81,True
M5,fft_cycle_only,128,0.08,5,0.12,10,1.0,4.0,newyork,2,50.0,3.5386,1.1,2.75,1,1,99.9,52.1,36,27.78,1.3244,11.19,8.97,14,22,-2.2142,0.8453,100.0,22571,0.4791,88.81,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,58.6,80,32.5,1.3048,17.28,17.68,39,41,1.0039,0.9156,100.0,26794,0.3892,82.72,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,62.6,60,26.67,1.303,12.66,13.96,28,32,-inf,0.9265,100.0,26794,0.3765,87.34,True
M5,fft_cycle_only,128,0.05,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,58.6,60,26.67,1.303,12.66,13.96,28,32,-inf,0.9265,100.0,26794,0.3765,87.34,True
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,4.0,london,1,100.0,inf,0.0,3.93,0,1,99.9,52.1,60,26.67,1.303,12.66,13.96,28,32,-inf,0.9265,100.0,26794,0.3765,87.34,True
M5,fft_cycle_only,128,0.03,3,0.12,10,1.5,4.0,london,10,10.0,0.4037,8.24,-5.75,4,6,99.9,62.6,95,26.32,1.2968,23.16,22.27,46,49,0.8931,0.9265,100.0,26794,0.3703,76.84,True
M5,fft_cycle_only,128,0.05,3,0.12,10,1.5,4.0,london,10,10.0,0.4037,8.24,-5.75,4,6,99.9,58.6,95,26.32,1.2968,23.16,22.27,46,49,0.8931,0.9265,100.0,26794,0.3703,76.84,True
M5,fft_cycle_only,128,0.08,3,0.12,10,1.5,4.0,london,10,10.0,0.4037,8.24,-5.75,4,6,99.9,52.1,95,26.32,1.2968,23.16,22.27,46,49,0.8931,0.9265,100.0,26794,0.3703,76.84,True
M5,fft_cycle_only,128,0.03,3,0.12,10,1.5,4.0,newyork,17,5.88,0.5124,10.12,-6.59,8,9,99.9,62.6,61,26.23,1.2925,17.53,13.58,25,36,0.7801,0.8775,100.0,22571,0.415,82.47,True
M5,fft_cycle_only,128,0.05,3,0.12,10,1.5,4.0,newyork,17,5.88,0.5124,10.12,-6.59,8,9,99.9,58.6,61,26.23,1.2925,17.53,13.58,25,36,0.7801,0.8775,100.0,22571,0.415,82.47,True
M5,fft_cycle_only,128,0.08,3,0.12,10,1.5,4.0,newyork,17,5.88,0.5124,10.12,-6.59,8,9,99.9,52.1,61,26.23,1.2925,17.53,13.58,25,36,0.7801,0.8775,100.0,22571,0.415,82.47,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,4.0,london,1,100.0,inf,0.0,3.89,0,1,99.9,58.6,51,27.45,1.2885,11.45,11.44,25,26,-inf,0.886,100.0,26794,0.4025,88.55,True
M5,full_confluence,128,0.08,5,0.12,10,1.0,4.0,london,1,100.0,inf,0.0,3.89,0,1,99.9,52.1,51,27.45,1.2885,11.45,11.44,25,26,-inf,0.886,100.0,26794,0.4025,88.55,True
M5,full_confluence,128,0.03,3,0.12,10,1.5,3.0,newyork,2,50.0,2.7447,1.07,1.83,1,1,99.9,62.6,59,32.2,1.2848,14.02,11.95,24,35,-1.4599,0.8824,100.0,22571,0.4024,85.98,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,4.0,all,9,33.33,1.7056,3.47,4.67,5,4,99.9,52.1,120,26.67,1.2841,15.65,27.92,60,60,-0.4215,0.831,100.0,72293,0.4531,84.35,True
M5,full_confluence,128,0.03,5,0.12,10,1.5,4.0,all,9,33.33,1.7056,3.47,4.67,5,4,99.9,62.6,125,26.4,1.2655,15.65,27.03,63,62,-0.4401,0.831,100.0,72293,0.4345,84.35,True
M5,full_confluence,128,0.03,3,0.12,10,1.5,3.0,london,10,10.0,0.3009,8.24,-6.66,4,6,99.9,62.6,82,31.71,1.258,17.57,15.16,40,42,0.9571,0.9156,100.0,26794,0.3424,82.43,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,4.0,all,9,33.33,1.7056,3.47,4.67,5,4,99.9,58.6,122,26.23,1.2533,15.65,24.9,62,60,-0.4523,0.831,100.0,72293,0.4223,84.35,True
M5,full_confluence,128,0.08,10,0.12,10,1.5,3.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,52.1,31,32.26,1.2493,11.31,5.35,12,19,1.2493,0.8267,100.0,72293,0.4226,88.69,True
M5,full_confluence,128,0.03,3,0.12,20,1.5,3.0,newyork,1,100.0,inf,0.0,2.93,0,1,99.8,62.6,32,31.25,1.2311,8.63,5.07,10,22,-inf,0.8732,100.0,15670,0.3579,91.37,True
M5,full_confluence,128,0.05,3,0.12,20,1.5,3.0,newyork,1,100.0,inf,0.0,2.93,0,1,99.8,58.6,32,31.25,1.2311,8.63,5.07,10,22,-inf,0.8732,100.0,15670,0.3579,91.37,True
M5,full_confluence,128,0.08,3,0.12,20,1.5,3.0,newyork,1,100.0,inf,0.0,2.93,0,1,99.8,52.1,32,31.25,1.2311,8.63,5.07,10,22,-inf,0.8732,100.0,15670,0.3579,91.37,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,2.0,london,1,100.0,inf,0.0,1.93,0,1,99.9,58.6,51,41.18,1.2267,5.94,7.07,25,26,-inf,0.9038,100.0,26794,0.3229,94.06,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,2.0,london,1,100.0,inf,0.0,1.93,0,1,99.9,52.1,51,41.18,1.2267,5.94,7.07,25,26,-inf,0.9038,100.0,26794,0.3229,94.06,True
M5,fft_cycle_only,128,0.03,3,0.12,10,1.5,3.0,newyork,17,11.76,0.5752,8.47,-5.79,8,9,99.9,62.6,61,31.15,1.2247,15.83,9.59,25,36,0.6495,0.8824,100.0,22571,0.3423,84.17,True
M5,fft_cycle_only,128,0.05,3,0.12,10,1.5,3.0,newyork,17,11.76,0.5752,8.47,-5.79,8,9,99.9,58.6,61,31.15,1.2247,15.83,9.59,25,36,0.6495,0.8824,100.0,22571,0.3423,84.17,True
M5,fft_cycle_only,128,0.08,3,0.12,10,1.5,3.0,newyork,17,11.76,0.5752,8.47,-5.79,8,9,99.9,52.1,61,31.15,1.2247,15.83,9.59,25,36,0.6495,0.8824,100.0,22571,0.3423,84.17,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,4.0,all,21,14.29,0.5795,12.29,-8.42,10,11,99.9,52.1,193,25.91,1.2247,26.05,36.52,94,99,0.6452,0.831,100.0,72293,0.3937,73.95,True
M5,full_confluence,128,0.03,5,0.12,10,1.0,4.0,london,1,100.0,inf,0.0,3.89,0,1,99.9,62.6,53,26.42,1.2232,11.45,8.96,26,27,-inf,0.886,100.0,26794,0.3372,88.55,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,3.0,all,9,33.33,1.2667,3.47,1.68,5,4,99.9,52.1,120,31.67,1.2158,15.65,19.07,60,60,-0.0509,0.8267,100.0,72293,0.3891,84.35,True
M5,full_confluence,128,0.03,3,0.12,20,1.5,4.0,newyork,1,100.0,inf,0.0,3.93,0,1,99.8,62.6,32,25.0,1.2123,13.94,4.87,10,22,-inf,0.8701,100.0,15670,0.3422,86.06,True
M5,full_confluence,128,0.05,3,0.12,20,1.5,4.0,newyork,1,100.0,inf,0.0,3.93,0,1,99.8,58.6,32,25.0,1.2123,13.94,4.87,10,22,-inf,0.8701,100.0,15670,0.3422,86.06,True
M5,full_confluence,128,0.08,3,0.12,20,1.5,4.0,newyork,1,100.0,inf,0.0,3.93,0,1,99.8,52.1,32,25.0,1.2123,13.94,4.87,10,22,-inf,0.8701,100.0,15670,0.3422,86.06,True
M5,full_confluence,128,0.03,10,0.12,10,1.5,3.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,62.6,35,31.43,1.2078,13.21,4.98,14,21,1.2078,0.8267,100.0,72293,0.3811,86.79,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,2.0,london,10,20.0,0.4457,7.25,-4.76,4,6,99.9,52.1,77,40.26,1.2008,11.56,9.51,37,40,0.7551,0.9038,100.0,26794,0.297,88.44,True
M5,full_confluence,128,0.05,10,0.12,10,1.5,3.0,all,0,0.0,0.0,0.0,0.0,0,0,100.0,58.6,32,31.25,1.1942,11.31,4.23,13,19,1.1942,0.8267,100.0,72293,0.3675,88.69,True
M5,full_confluence,128,0.03,5,0.12,10,1.5,3.0,all,9,33.33,1.2667,3.47,1.68,5,4,99.9,62.6,125,31.2,1.1887,16.4,17.1,63,62,-0.078,0.8267,100.0,72293,0.362,83.6,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,2.0,london,10,20.0,0.4457,7.25,-4.76,4,6,99.9,58.6,80,40.0,1.1877,12.11,9.22,39,41,0.742,0.9038,100.0,26794,0.2839,87.89,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,3.0,all,9,33.33,1.2667,3.47,1.68,5,4,99.9,58.6,122,31.15,1.1847,15.65,16.26,62,60,-0.082,0.8267,100.0,72293,0.358,84.35,True
M5,full_confluence,128,0.03,3,0.12,10,1.5,4.0,all,21,14.29,0.5795,12.29,-8.42,10,11,99.9,62.6,202,25.25,1.1836,30.11,29.82,99,103,0.6041,0.831,100.0,72293,0.3526,69.89,True
M5,full_confluence,128,0.05,3,0.12,10,1.5,4.0,all,21,14.29,0.5795,12.29,-8.42,10,11,99.9,58.6,199,25.13,1.1753,28.58,27.65,98,101,0.5958,0.831,100.0,72293,0.3443,71.42,True
M5,fft_cycle_only,128,0.03,3,0.12,20,1.5,3.0,newyork,4,25.0,0.93,3.11,-0.28,1,3,99.8,62.6,33,30.3,1.1744,8.63,3.86,11,22,0.2444,0.8732,100.0,15670,0.3012,91.37,True
M5,fft_cycle_only,128,0.05,3,0.12,20,1.5,3.0,newyork,4,25.0,0.93,3.11,-0.28,1,3,99.8,58.6,33,30.3,1.1744,8.63,3.86,11,22,0.2444,0.8732,100.0,15670,0.3012,91.37,True
M5,fft_cycle_only,128,0.08,3,0.12,20,1.5,3.0,newyork,4,25.0,0.93,3.11,-0.28,1,3,99.8,52.1,33,30.3,1.1744,8.63,3.86,11,22,0.2444,0.8732,100.0,15670,0.3012,91.37,True
M5,fft_cycle_only,128,0.03,3,0.12,20,1.5,4.0,newyork,4,25.0,1.2478,3.11,0.69,1,3,99.8,62.6,33,24.24,1.1609,13.94,3.67,11,22,-0.0869,0.8701,100.0,15670,0.2908,86.06,True
M5,fft_cycle_only,128,0.05,3,0.12,20,1.5,4.0,newyork,4,25.0,1.2478,3.11,0.69,1,3,99.8,58.6,33,24.24,1.1609,13.94,3.67,11,22,-0.0869,0.8701,100.0,15670,0.2908,86.06,True
M5,fft_cycle_only,128,0.08,3,0.12,20,1.5,4.0,newyork,4,25.0,1.2478,3.11,0.69,1,3,99.8,52.1,33,24.24,1.1609,13.94,3.67,11,22,-0.0869,0.8701,100.0,15670,0.2908,86.06,True
M5,full_confluence,128,0.05,5,0.12,10,1.0,3.0,london,1,100.0,inf,0.0,2.89,0,1,99.9,58.6,51,31.37,1.1541,11.45,5.36,25,26,-inf,0.88,100.0,26794,0.2741,88.55,True
M5,full_confluence,128,0.08,5,0.12,10,1.0,3.0,london,1,100.0,inf,0.0,2.89,0,1,99.9,52.1,51,31.37,1.1541,11.45,5.36,25,26,-inf,0.88,100.0,26794,0.2741,88.55,True
M5,full_confluence,128,0.03,5,0.12,10,1.5,2.0,london,1,100.0,inf,0.0,1.93,0,1,99.9,62.6,53,39.62,1.1505,7.96,4.77,26,27,-inf,0.9038,100.0,26794,0.2467,92.04,True
M5,full_confluence,128,0.05,5,0.12,10,1.5,2.0,newyork,2,50.0,1.8065,1.07,0.84,1,1,99.9,58.6,33,39.39,1.1493,6.75,2.92,13,20,-0.6572,0.8742,100.0,22571,0.2751,93.25,True
M5,full_confluence,128,0.08,5,0.12,10,1.5,2.0,newyork,2,50.0,1.8065,1.07,0.84,1,1,99.9,52.1,33,39.39,1.1493,6.75,2.92,13,20,-0.6572,0.8742,100.0,22571,0.2751,93.25,True
M5,full_confluence,128,0.08,3,0.12,10,1.5,3.0,all,21,19.05,0.6043,12.29,-7.44,10,11,99.9,52.1,193,30.57,1.1456,25.88,20.26,94,99,0.5413,0.8267,100.0,72293,0.3189,74.12,True
M5,fft_cycle_only,128,0.03,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,62.6,60,30.0,1.1425,15.15,5.67,28,32,-inf,0.9156,100.0,26794,0.2269,84.85,True
M5,fft_cycle_only,128,0.05,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,58.6,60,30.0,1.1425,15.15,5.67,28,32,-inf,0.9156,100.0,26794,0.2269,84.85,True
M5,fft_cycle_only,128,0.08,5,0.12,10,1.5,3.0,london,1,100.0,inf,0.0,2.93,0,1,99.9,52.1,60,30.0,1.1425,15.15,5.67,28,32,-inf,0.9156,100.0,26794,0.2269,84.85,True
