tf,filter_mode,fft_n,delta,min_period,pwr_thresh,ema_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,train_longs,train_shorts,trade_reduction_pct,regime_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,oos_longs,oos_shorts,delta_pf,base_pf,base_dd,base_trades,pf_gain,dd_gain,statistically_valid
M15,full_confluence,128,0.05,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,51.02,2.0833,5.88,28.9,21,28,2.0833,0.9816,88.14,5754,1.1017,82.26,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,51.02,2.0833,5.88,28.9,21,28,2.0833,0.9816,88.14,5754,1.1017,82.26,True
M15,full_confluence,128,0.03,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,50.98,2.08,5.88,30.16,23,28,2.08,0.9816,88.14,5754,1.0984,82.26,True
M15,full_confluence,128,0.05,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,40.82,2.069,4.96,34.95,21,28,2.069,0.9653,95.57,5754,1.1037,90.61,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,40.82,2.069,4.96,34.95,21,28,2.069,0.9653,95.57,5754,1.1037,90.61,True
M15,full_confluence,128,0.03,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,39.22,1.9355,4.96,32.26,23,28,1.9355,0.9653,95.57,5754,0.9702,90.61,True
M15,fft_cycle_only,128,0.03,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M15,fft_cycle_only,128,0.05,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M15,fft_cycle_only,128,0.08,10,0.08,20,1.0,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,59,49.15,1.9333,5.88,31.36,28,31,1.9333,0.9816,88.14,5754,0.9517,82.26,True
M15,full_confluence,128,0.05,10,0.08,20,1.0,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,30.61,1.8182,7.73,29.26,21,28,1.8182,0.9471,98.97,5754,0.8711,91.24,True
M15,full_confluence,128,0.08,10,0.08,20,1.0,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,30.61,1.8182,7.73,29.26,21,28,1.8182,0.9471,98.97,5754,0.8711,91.24,True
M15,fft_cycle_only,128,0.03,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,59,37.29,1.7838,4.96,32.11,28,31,1.7838,0.9653,95.57,5754,0.8185,90.61,True
M15,fft_cycle_only,128,0.05,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,59,37.29,1.7838,4.96,32.11,28,31,1.7838,0.9653,95.57,5754,0.8185,90.61,True
M15,fft_cycle_only,128,0.08,10,0.08,20,1.0,3.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,59,37.29,1.7838,4.96,32.11,28,31,1.7838,0.9653,95.57,5754,0.8185,90.61,True
M15,full_confluence,128,0.05,10,0.08,20,1.5,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,55.8,49,46.94,1.7692,5.88,21.43,21,28,1.7692,0.9533,96.11,5754,0.8159,90.23,True
M15,full_confluence,128,0.08,10,0.08,20,1.5,2.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.7,49.2,49,46.94,1.7692,5.88,21.43,21,28,1.7692,0.9533,96.11,5754,0.8159,90.23,True
M15,full_confluence,128,0.03,10,0.08,20,1.0,4.0,london,2,0.0,0.0,1.99,-1.99,1,1,99.6,61.2,51,29.41,1.7143,8.65,26.69,23,28,1.7143,0.9471,98.97,5754,0.7672,90.32,True
M15,full_confluence,128,0.03,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,61.2,76,46.05,1.7073,7.81,32.45,36,40,0.374,0.9951,78.41,8277,0.7122,70.6,True
M15,full_confluence,128,0.05,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,55.8,75,45.33,1.6585,7.81,29.85,35,40,0.3252,0.9951,78.41,8277,0.6634,70.6,True
M15,full_confluence,128,0.08,10,0.08,10,1.0,2.0,london,5,40.0,1.3333,1.99,0.95,2,3,99.6,49.2,75,45.33,1.6585,7.81,29.85,35,40,0.3252,0.9951,78.41,8277,0.6634,70.6,True
