tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,128,0.1,0.3,10,1.0,4.0,london,261,19.16,0.8691,33.06,-29.25,1257,21.0,0.9741,63.75,-41.24,1518,767,751,9.117193675889327
M15,64,0.1,0.2,10,1.5,4.0,london,265,19.25,0.9256,35.3,-19.33,1509,20.28,0.9737,72.15,-46.78,1774,894,880,21.44813979706877
M15,64,0.05,0.3,10,1.5,4.0,london,346,20.23,0.9776,35.11,-12.43,2019,20.26,0.9737,78.98,-57.0,2365,1187,1178,22.15112050739958
M15,128,0.1,0.2,10,1.5,4.0,london,195,21.03,1.0026,27.2,-3.48,998,20.04,0.972,61.25,-34.88,1193,606,587,21.66923721709975
M15,256,0.1,0.3,10,1.5,2.0,london,233,33.48,0.9391,15.36,-11.49,1207,34.38,0.9719,46.37,-29.95,1440,725,715,9.89125
M15,256,0.05,0.3,10,1.0,3.0,london,267,23.97,0.8634,42.36,-28.5,1336,26.35,0.9718,45.54,-39.55,1603,800,803,6.333312538989395
M15,256,0.1,0.3,5,1.5,2.0,newyork,991,31.38,0.8625,67.59,-65.61,4970,34.0,0.9689,90.43,-79.05,5961,2978,2983,26.217379634289546
M15,256,0.1,0.2,5,1.0,2.0,newyork,802,32.17,0.8706,60.6,-56.11,4082,34.74,0.9687,76.42,-72.75,4884,2440,2444,12.234316134316137
M15,256,0.1,0.2,5,1.5,3.0,london,902,24.28,0.908,59.66,-54.48,4610,25.62,0.9687,85.64,-83.83,5512,2757,2755,15.650907111756169
M15,128,0.05,0.3,10,1.5,3.0,asian,241,25.31,0.9216,27.71,-17.13,1271,26.2,0.9679,61.06,-40.42,1512,766,746,11.192791005291005
M15,256,0.1,0.3,10,1.5,2.0,all,595,35.46,1.0139,21.23,-0.47,3094,34.55,0.9676,69.96,-63.53,3689,1839,1850,15.264516129032257
M15,64,0.1,0.3,10,1.5,4.0,london,298,19.13,0.9157,38.99,-23.41,1758,20.19,0.9674,74.84,-56.24,2056,1036,1020,21.60145914396887
M15,256,0.05,0.2,5,1.5,3.0,london,890,24.38,0.9129,58.56,-52.39,4598,25.58,0.9666,86.49,-84.93,5488,2742,2746,15.7
M15,256,0.05,0.3,10,1.5,2.0,all,679,34.9,0.9891,29.35,-11.27,3465,34.49,0.9664,74.83,-68.6,4144,2059,2085,15.200000000000001
M15,256,0.1,0.3,5,1.5,3.0,london,1110,24.41,0.9148,65.33,-59.68,5705,25.57,0.9661,92.2,-90.65,6815,3405,3410,15.946588407923699
M15,256,0.1,0.2,10,1.5,2.0,london,199,33.67,0.9472,13.29,-8.87,981,34.25,0.9655,45.32,-28.28,1180,590,590,10.05177966101695
M15,256,0.1,0.3,10,1.0,4.0,newyork,219,19.18,0.8832,34.86,-22.96,1030,20.68,0.9648,67.66,-40.14,1249,629,620,22.112329863891112
M15,256,0.05,0.3,5,1.5,3.0,london,1069,24.23,0.9053,67.55,-61.57,5618,25.54,0.9646,92.39,-90.94,6687,3339,3348,15.859862419620157
M15,256,0.05,0.3,5,1.5,2.0,newyork,967,31.44,0.8648,67.9,-64.13,4871,33.87,0.964,91.65,-81.68,5838,2918,2920,26.23497773210003
M15,128,0.05,0.2,10,1.5,4.0,london,236,22.46,1.0917,26.29,13.37,1123,19.95,0.9639,67.04,-42.78,1359,690,669,22.1167770419426
M15,128,0.05,0.3,10,1.0,4.0,london,299,22.41,1.0597,25.98,8.82,1407,20.82,0.9638,72.0,-51.21,1706,859,847,9.180422039859321
M15,128,0.05,0.2,10,1.0,4.0,london,236,22.88,1.0864,18.15,12.48,1123,20.84,0.9637,64.52,-43.66,1359,690,669,8.912582781456953
M15,256,0.05,0.2,5,1.0,2.0,newyork,807,31.97,0.8621,64.15,-58.52,4051,34.61,0.9631,79.11,-76.54,4858,2426,2432,12.250164676821738
M15,128,0.05,0.2,5,1.5,2.0,london,996,32.63,0.905,60.1,-53.46,5066,34.13,0.9609,87.98,-84.74,6062,3043,3019,9.93144176839327
