tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,64,0.05,0.3,5,1.5,4.0,london,19901,19.76,0.8671,100.0,-100.0,96731,19.42,0.8379,100.0,-100.0,116632,58299,58333,18.465873859661155
M1,64,0.1,0.3,5,1.5,4.0,london,20106,19.75,0.8692,100.0,-100.0,97829,19.4,0.836,100.0,-100.0,117935,58969,58966,18.48295162589562
M1,64,0.05,0.2,5,1.5,4.0,london,17573,19.84,0.8707,100.0,-100.0,85654,19.35,0.8347,100.0,-100.0,103227,51575,51652,18.465952706171834
M1,64,0.1,0.2,5,1.5,4.0,london,17612,19.84,0.8745,100.0,-100.0,85750,19.37,0.8342,100.0,-100.0,103362,51661,51701,18.4
M1,64,0.1,0.2,10,1.5,4.0,london,5050,20.14,0.9096,99.49,-99.4,24494,19.3,0.83,100.0,-100.0,29544,14793,14751,18.534186298402382
M1,64,0.05,0.2,10,1.5,4.0,london,5798,19.7,0.877,99.95,-99.95,28701,19.22,0.8278,100.0,-100.0,34499,17249,17250,18.600000000000005
M1,64,0.05,0.3,10,1.5,4.0,london,6558,19.69,0.8755,99.98,-99.98,32301,19.16,0.8256,100.0,-100.0,38859,19427,19432,18.600000000000005
M1,64,0.1,0.3,10,1.5,4.0,london,5750,20.16,0.9076,99.75,-99.73,27779,19.18,0.8244,100.0,-100.0,33529,16774,16755,18.534298666825734
M1,64,0.05,0.3,5,1.5,3.0,london,19901,25.57,0.8505,100.0,-100.0,96731,25.32,0.8219,100.0,-100.0,116632,58299,58333,14.282936929830578
M1,64,0.05,0.2,5,1.5,3.0,london,17573,25.58,0.8517,100.0,-100.0,85654,25.3,0.8208,100.0,-100.0,103227,51575,51652,14.2
M1,64,0.1,0.3,5,1.5,3.0,london,20106,25.58,0.8521,100.0,-100.0,97829,25.29,0.8205,100.0,-100.0,117935,58969,58966,14.21704837410438
M1,64,0.1,0.2,5,1.5,3.0,london,17612,25.61,0.8542,100.0,-100.0,85750,25.29,0.82,100.0,-100.0,103362,51661,51701,14.217039143979413
M1,64,0.1,0.2,10,1.5,3.0,london,5050,25.78,0.8665,99.86,-99.85,24494,25.23,0.8189,100.0,-100.0,29544,14793,14751,14.351279447603575
M1,64,0.05,0.2,10,1.5,3.0,london,5798,25.41,0.8479,99.98,-99.98,28701,25.07,0.8126,100.0,-100.0,34499,17249,17250,14.316806284240124
M1,64,0.1,0.3,10,1.5,3.0,london,5750,25.83,0.8691,99.94,-99.93,27779,25.05,0.8109,100.0,-100.0,33529,16774,16755,14.3514480002386
M1,64,0.05,0.3,10,1.5,3.0,london,6558,25.42,0.8489,99.99,-99.99,32301,24.96,0.8079,100.0,-100.0,38859,19427,19432,14.399999999999999
M1,64,0.05,0.2,10,1.5,4.0,newyork,5059,17.63,0.8051,100.0,-100.0,25302,18.38,0.8071,100.0,-100.0,30361,15188,15173,21.433325648035307
M1,64,0.05,0.3,10,1.5,4.0,newyork,5704,17.57,0.7969,100.0,-100.0,28334,18.37,0.8054,100.0,-100.0,34038,17057,16981,21.316757741347907
M1,64,0.1,0.3,10,1.5,4.0,newyork,4891,17.64,0.8058,99.99,-99.99,24300,18.42,0.8047,100.0,-100.0,29191,14616,14575,21.316755164262958
M1,64,0.1,0.2,10,1.5,4.0,newyork,4309,17.64,0.8121,99.98,-99.97,21469,18.4,0.804,100.0,-100.0,25778,12901,12877,21.38357902087051
M1,64,0.1,0.2,10,1.5,2.0,london,5050,33.96,0.8194,99.95,-99.94,24494,34.08,0.7967,100.0,-100.0,29544,14793,14751,9.534186298402384
M1,64,0.05,0.3,5,1.5,4.0,newyork,17370,17.58,0.7854,100.0,-100.0,84637,18.12,0.7956,100.0,-100.0,102007,51054,50953,21.36594351368043
M1,64,0.1,0.3,5,1.5,4.0,newyork,17367,17.6,0.7879,100.0,-100.0,85534,18.12,0.7956,100.0,-100.0,102901,51510,51391,21.383122612996956
M1,64,0.1,0.3,10,1.5,2.0,london,5750,33.74,0.8106,99.99,-99.99,27779,34.04,0.7945,100.0,-100.0,33529,16774,16755,9.534298666825732
M1,64,0.05,0.3,10,1.5,2.0,london,6558,33.27,0.7939,100.0,-100.0,32301,33.99,0.7929,100.0,-100.0,38859,19427,19432,9.53375279857948
M1,64,0.05,0.2,10,1.5,2.0,london,5798,33.56,0.8044,99.99,-99.99,28701,33.95,0.7921,100.0,-100.0,34499,17249,17250,9.5
M1,64,0.05,0.3,5,1.5,2.0,london,19901,33.76,0.8072,100.0,-100.0,96731,34.0,0.7912,100.0,-100.0,116632,58299,58333,9.5
M1,64,0.05,0.2,5,1.5,4.0,newyork,15406,17.43,0.7814,100.0,-100.0,75049,17.97,0.7897,100.0,-100.0,90455,45229,45226,21.465936653584656
M1,64,0.1,0.3,5,1.5,2.0,london,20106,33.82,0.81,100.0,-100.0,97829,33.95,0.7893,100.0,-100.0,117935,58969,58966,9.51704837410438
M1,64,0.05,0.2,10,1.5,3.0,newyork,5059,24.57,0.7984,99.99,-99.99,25302,24.8,0.7892,100.0,-100.0,30361,15188,15173,16.5
M1,64,0.1,0.2,5,1.5,4.0,newyork,15272,17.37,0.7805,100.0,-100.0,74973,17.97,0.7891,100.0,-100.0,90245,45139,45106,21.4
M1,64,0.05,0.2,5,1.5,2.0,london,17573,33.93,0.8139,100.0,-100.0,85654,33.94,0.789,100.0,-100.0,103227,51575,51652,9.5
M1,64,0.1,0.2,5,1.5,2.0,london,17612,34.02,0.8181,100.0,-100.0,85750,33.9,0.7878,100.0,-100.0,103362,51661,51701,9.434078287958824
M1,64,0.1,0.2,10,1.5,3.0,newyork,4309,24.58,0.801,99.98,-99.97,21469,24.8,0.7872,100.0,-100.0,25778,12901,12877,16.550147412522307
M1,64,0.1,0.3,10,1.5,3.0,newyork,4891,24.35,0.7896,100.0,-99.99,24300,24.73,0.7845,100.0,-100.0,29191,14616,14575,16.533510328525917
M1,64,0.05,0.3,10,1.5,3.0,newyork,5704,24.3,0.7853,100.0,-100.0,28334,24.67,0.7833,100.0,-100.0,34038,17057,16981,16.583242258652096
M1,64,0.05,0.3,5,1.5,3.0,newyork,17370,24.23,0.7842,100.0,-100.0,84637,24.65,0.7818,100.0,-100.0,102007,51054,50953,16.6
M1,64,0.1,0.3,5,1.5,3.0,newyork,17367,24.21,0.7849,100.0,-100.0,85534,24.64,0.7817,100.0,-100.0,102901,51510,51391,16.616877387003044
M1,64,0.05,0.2,5,1.5,3.0,newyork,15406,24.19,0.7837,100.0,-100.0,75049,24.62,0.7801,100.0,-100.0,90455,45229,45226,16.58296832679233
M1,64,0.1,0.2,5,1.5,3.0,newyork,15272,24.11,0.7819,100.0,-100.0,74973,24.6,0.7791,100.0,-100.0,90245,45139,45106,16.61692282120893
M1,64,0.05,0.2,5,1.0,4.0,london,17573,20.83,0.8003,100.0,-100.0,85654,20.97,0.7764,100.0,-100.0,103227,51575,51652,8.517023646914083
M1,64,0.1,0.2,5,1.0,4.0,london,17612,20.8,0.7999,100.0,-100.0,85750,20.95,0.7756,100.0,-100.0,103362,51661,51701,8.534078287958824
M1,64,0.05,0.3,5,1.0,4.0,london,19901,20.79,0.797,100.0,-100.0,96731,20.93,0.7746,100.0,-100.0,116632,58299,58333,8.6
M1,64,0.1,0.3,5,1.0,4.0,london,20106,20.81,0.7987,100.0,-100.0,97829,20.92,0.7745,100.0,-100.0,117935,58969,58966,8.517048374104379
