tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,64,0.05,0.3,10,1.0,4.0,london,1151,18.07,0.8832,81.66,-73.0,6133,20.98,1.0636,82.05,525.53,7284,3677,3607,19.436792970895112
M5,128,0.05,0.3,10,1.0,3.0,london,930,23.01,0.8966,61.97,-58.12,4503,26.05,1.0574,42.27,240.4,5433,2714,2719,13.980176697956928
M5,64,0.05,0.2,10,1.0,2.0,london,1014,32.64,0.9693,43.1,-26.63,5374,34.57,1.0569,53.13,329.01,6388,3221,3167,7.8999999999999995
M5,128,0.05,0.2,5,1.0,3.0,asian,2786,25.66,1.0357,52.61,37.75,13848,26.04,1.0562,74.23,3760.96,16634,8337,8297,5.683251172297704
M5,128,0.05,0.3,5,1.0,3.0,asian,3333,25.86,1.0465,55.81,90.66,16264,26.01,1.0548,63.73,6102.89,19597,9830,9767,5.7659845894779815
M5,128,0.05,0.2,5,1.0,4.0,asian,2786,20.82,1.0517,46.31,78.06,13848,20.86,1.0548,88.96,2346.3,16634,8337,8297,7.44975351689311
M5,64,0.05,0.3,10,1.0,2.0,london,1151,33.45,1.0052,41.63,-7.18,6133,34.52,1.0543,53.29,375.89,7284,3677,3607,7.868396485447557
M5,64,0.1,0.3,10,1.5,3.0,london,975,25.44,1.0248,40.32,3.46,5254,25.92,1.0542,64.5,268.4,6229,3147,3082,34.0408733344036
M5,64,0.05,0.3,10,1.0,3.0,london,1151,23.54,0.9239,68.19,-56.56,6133,25.97,1.0529,78.42,334.36,7284,3677,3607,13.584198242723778
M5,64,0.1,0.2,10,1.5,2.0,london,858,32.28,0.9535,50.52,-29.81,4591,34.46,1.0519,55.69,199.32,5449,2737,2712,21.651936135070653
M5,64,0.1,0.2,10,1.0,2.0,london,858,32.98,0.9843,40.24,-16.04,4591,34.46,1.0515,60.43,196.33,5449,2737,2712,7.710222059093412
M5,128,0.05,0.3,10,1.0,4.0,london,930,18.71,0.9206,69.94,-53.87,4503,20.79,1.0511,68.04,148.75,5433,2714,2719,19.654942020982883
M5,64,0.05,0.3,10,1.5,2.0,london,1151,32.75,0.9742,54.01,-26.9,6133,34.44,1.051,46.03,318.22,7284,3677,3607,21.973819330038438
M5,128,0.05,0.3,5,1.0,4.0,asian,3333,21.12,1.0711,46.87,228.4,16264,20.79,1.0504,88.66,2368.45,19597,9830,9767,7.465984589477981
M5,128,0.1,0.3,5,1.0,3.0,asian,3356,25.8,1.0434,54.51,77.28,16412,25.92,1.0497,60.46,3385.38,19768,9916,9852,5.683023067583974
M5,128,0.1,0.2,10,1.0,3.0,london,701,22.11,0.8516,59.94,-59.58,3455,25.9,1.0496,65.71,110.93,4156,2071,2085,14.465062560153996
M5,128,0.1,0.2,5,1.0,3.0,asian,2790,25.63,1.0337,48.67,32.33,13844,25.92,1.0495,74.7,1870.24,16634,8338,8296,5.683227125165324
