tf,fft_window,low_pct,high_pct,min_period,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,64,0.05,0.3,10,1.0,3.0,newyork,5086,26.84,1.1017,53.28,1889.89,25492,26.66,1.0933,63.81,70330632.88,30578,15298,15280,7.25010138007718
M1,64,0.05,0.2,10,1.0,3.0,newyork,4435,26.92,1.1069,59.77,1496.38,22435,26.65,1.0932,57.25,13808418.39,26870,13460,13410,7.250483810941571
M1,64,0.05,0.2,5,1.0,4.0,newyork,14186,21.17,1.0809,89.51,44060.65,69929,21.33,1.093,77.33,6.415501262162085e+17,84115,42100,42015,9.516865006241455
M1,64,0.05,0.3,10,1.0,4.0,newyork,5086,21.41,1.0961,61.41,1497.97,25492,21.29,1.0905,77.05,35819112.49,30578,15298,15280,9.55010138007718
M1,64,0.1,0.2,10,1.0,4.0,newyork,3795,21.63,1.111,60.12,1107.83,19170,21.29,1.0903,64.3,1455999.97,22965,11503,11462,9.56694970607446
M1,64,0.05,0.3,5,1.0,2.0,newyork,16276,35.28,1.0906,54.44,263402.88,79956,35.27,1.0902,50.75,5.198422295861171e+18,96232,48156,48076,4.9
M1,64,0.05,0.2,5,1.0,2.0,newyork,14186,35.35,1.0943,50.01,132350.95,69929,35.26,1.0895,52.17,3.0939057570246012e+16,84115,42100,42015,4.816865006241455
M1,64,0.05,0.3,10,1.0,2.0,newyork,5086,35.71,1.111,31.5,2135.44,25492,35.25,1.0893,47.64,18645824.57,30578,15298,15280,4.866734253384786
M1,64,0.05,0.2,10,1.0,2.0,newyork,4435,35.9,1.1211,28.33,1874.36,22435,35.24,1.0888,53.52,4007543.57,26870,13460,13410,4.866989207294381
M15,256,0.1,0.2,10,1.5,2.0,newyork,164,34.76,1.0654,8.84,5.48,829,35.22,1.0875,17.58,47.01,993,507,486,20.818328298086605
