tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,13,34,55,1.5,4.0,newyork,186,19.89,1.008,20.8,-2.43,909,20.13,0.9994,38.78,-16.92,1095,525,570,38.737808219178085
M15,8,34,55,1.5,4.0,newyork,218,20.64,1.0276,19.44,0.49,1040,20.0,0.989,49.33,-25.94,1258,604,654,39.07186009538951
M15,8,21,55,1.0,4.0,london,381,21.52,1.003,28.94,-6.69,1925,21.3,0.9849,80.11,-47.49,2306,1166,1140,8.050433651344319
M15,5,34,55,1.5,4.0,london,374,24.87,1.2666,30.64,100.06,1816,20.43,0.9801,57.24,-48.51,2190,1062,1128,19.388036529680367
M15,8,21,89,1.0,4.0,london,366,23.5,1.1246,27.29,34.06,1833,21.22,0.9786,82.85,-50.87,2199,1074,1125,7.583083219645293
M15,8,21,55,1.5,4.0,london,381,22.57,1.106,32.2,27.78,1925,20.36,0.9758,69.98,-53.83,2306,1166,1140,19.497398091934084
M15,13,34,55,1.0,4.0,london,279,23.3,1.1124,23.72,21.71,1373,20.98,0.9654,60.25,-49.58,1652,786,866,8.083111380145278
M15,8,21,55,1.0,3.0,london,381,25.46,0.9309,36.36,-23.47,1925,26.18,0.96,77.64,-59.68,2306,1166,1140,5.51652211621856
M15,13,21,89,1.5,4.0,newyork,206,19.9,0.9977,24.94,-4.34,1042,19.87,0.9596,50.94,-42.54,1248,612,636,38.54663461538461
M15,5,34,55,1.5,3.0,london,374,30.21,1.2297,24.32,75.63,1816,25.5,0.9595,68.96,-57.18,2190,1062,1128,13.64401826484018
M15,13,34,55,1.0,2.0,london,279,34.77,0.9578,19.64,-10.48,1373,34.96,0.9579,58.9,-42.02,1652,786,866,3.249334140435835
M15,5,21,55,1.0,4.0,london,443,23.7,1.1357,26.51,48.24,2241,20.84,0.9577,84.4,-71.76,2684,1346,1338,8.1
M15,13,34,55,1.5,4.0,london,279,23.66,1.194,22.12,44.29,1373,19.96,0.9569,66.42,-53.49,1652,786,866,20.306658595641647
M15,8,34,55,1.5,3.0,newyork,218,26.61,1.0535,21.1,5.59,1040,25.1,0.9565,56.3,-39.72,1258,604,654,31.390620031796505
M15,8,34,55,1.5,4.0,london,321,23.68,1.1922,26.72,51.83,1573,19.96,0.9547,61.68,-59.58,1894,908,986,20.162671594508975
M15,13,21,89,1.0,4.0,london,328,23.48,1.1248,26.91,30.1,1578,20.79,0.9541,72.58,-60.87,1906,932,974,7.5892969569779645
M15,8,21,55,1.5,3.0,london,381,27.3,1.0561,28.74,10.89,1925,25.35,0.9533,74.93,-62.97,2306,1166,1140,13.932176929748481
M15,13,34,55,1.5,3.0,london,279,29.75,1.208,17.26,46.02,1373,25.35,0.953,63.11,-50.94,1652,786,866,14.102663438256657
M15,5,34,55,1.0,4.0,london,374,23.8,1.142,21.41,42.03,1816,20.76,0.9521,75.87,-67.05,2190,1062,1128,7.770776255707762
M15,8,21,89,1.5,4.0,london,366,23.77,1.2041,29.84,66.26,1833,20.02,0.9518,83.39,-66.77,2199,1074,1125,19.682401091405183
M15,13,34,89,1.0,4.0,london,254,22.83,1.0838,18.28,12.86,1312,20.73,0.9509,67.14,-55.79,1566,759,807,7.8378033205619415
M15,13,21,55,1.0,4.0,london,342,22.51,1.0636,25.49,11.34,1670,20.66,0.9486,76.03,-65.73,2012,1014,998,7.8490059642147125
M15,5,34,55,1.0,2.0,london,374,36.63,1.037,20.15,5.69,1816,34.75,0.9481,68.8,-57.16,2190,1062,1128,3.1683105022831053
M15,8,21,89,1.5,3.0,london,366,30.05,1.2217,23.45,70.11,1833,25.26,0.9473,81.51,-64.43,2199,1074,1125,14.083083219645294
M15,8,34,55,1.0,4.0,london,321,23.05,1.0975,23.53,20.71,1573,20.66,0.9466,76.37,-64.52,1894,908,986,7.954223864836325
M15,5,34,55,1.0,3.0,london,374,28.61,1.0922,21.89,22.6,1816,25.88,0.9454,74.18,-65.66,2190,1062,1128,5.436621004566209
M15,5,21,55,1.0,3.0,london,443,27.99,1.059,26.02,14.06,2241,25.88,0.945,82.47,-73.47,2684,1346,1338,5.6495156482861395
M15,8,34,55,1.5,3.0,london,321,28.97,1.162,22.31,39.49,1573,25.17,0.9438,65.75,-60.57,1894,908,986,14.07286166842661
M15,13,21,55,1.5,4.0,london,342,22.51,1.0949,29.76,20.99,1670,19.82,0.9437,73.0,-67.22,2012,1014,998,19.47196819085487
M15,13,34,55,1.5,3.0,newyork,186,26.34,1.0435,17.37,3.33,909,24.86,0.9432,47.9,-41.59,1095,525,570,30.781095890410956
M15,5,34,55,1.5,4.0,newyork,248,20.97,1.0775,16.38,10.85,1206,19.24,0.9418,60.56,-55.69,1454,714,740,38.97455295735901
M15,13,34,55,1.0,3.0,london,279,27.96,1.0592,18.08,8.68,1373,25.78,0.9413,63.64,-57.39,1652,786,866,5.5
M15,5,21,55,1.5,4.0,london,443,23.25,1.1532,33.87,56.21,2241,19.81,0.9407,80.97,-78.9,2684,1346,1338,19.27961997019374
M15,13,34,89,1.0,3.0,london,254,26.38,0.9779,21.99,-7.98,1312,25.76,0.94,63.64,-56.4,1566,759,807,5.318901660280971
M15,8,21,55,1.0,2.0,london,381,33.86,0.9185,33.53,-22.79,1925,34.55,0.9395,78.02,-63.91,2306,1166,1140,3.350433651344319
M15,13,21,55,1.5,4.0,newyork,215,22.33,1.1498,15.15,23.16,1061,19.23,0.9353,63.77,-53.88,1276,638,638,38.153840125391845
M15,8,21,89,1.5,2.0,london,366,35.25,1.0131,26.25,-0.47,1833,33.55,0.9337,77.05,-64.39,2199,1074,1125,8.783083219645293
M15,8,34,89,1.0,2.0,newyork,201,34.83,0.9825,27.49,-4.37,1012,33.79,0.9313,54.94,-44.59,1213,583,630,9.649711459192085
M15,13,34,89,1.5,4.0,london,254,22.83,1.1156,17.22,20.0,1312,19.51,0.9283,71.82,-64.86,1566,759,807,20.002681992337166
M15,8,21,89,1.0,3.0,london,366,27.05,1.0119,27.22,-2.28,1833,25.53,0.9278,86.47,-73.83,2199,1074,1125,5.399727148703956
M15,8,21,55,1.5,2.0,london,381,34.65,0.9859,19.88,-7.28,1925,33.4,0.9277,71.86,-68.89,2306,1166,1140,8.548699045967043
M15,13,21,55,1.0,3.0,london,342,26.9,1.004,25.77,-4.16,1670,25.51,0.9277,73.68,-70.53,2012,1014,998,5.5
M15,13,34,89,1.0,2.0,newyork,170,34.71,0.9785,23.45,-4.16,879,33.67,0.9272,56.24,-41.64,1049,503,546,9.354146806482364
M15,8,34,55,1.0,3.0,london,321,28.97,1.1138,21.0,25.33,1573,25.49,0.9266,75.51,-68.83,1894,908,986,5.452534318901796
M15,13,21,89,1.5,4.0,london,328,22.26,1.1009,28.82,21.85,1578,19.65,0.9259,79.36,-72.47,1906,932,974,20.18509968520462
M15,8,34,89,1.0,4.0,london,296,22.64,1.0715,22.4,11.84,1512,20.3,0.9257,80.76,-71.87,1808,871,937,7.830973451327433
M15,13,34,89,1.5,3.0,london,254,27.95,1.0925,17.1,14.66,1312,24.77,0.9255,67.95,-61.96,1566,759,807,14.69182630906769
M15,5,21,89,1.0,4.0,london,424,24.53,1.1901,24.15,74.27,2153,20.3,0.9249,89.72,-83.78,2577,1252,1325,7.730345362824989
M15,13,34,55,1.5,4.0,asian,177,20.34,0.9316,35.98,-12.97,829,20.27,0.9248,62.12,-50.36,1006,481,525,11.547216699801194
M15,5,34,89,1.5,4.0,london,349,25.79,1.3082,25.76,112.66,1757,19.46,0.9239,83.0,-76.9,2106,1022,1084,19.013722697056032
M15,13,34,89,1.0,2.0,london,254,35.04,0.9694,19.27,-7.7,1312,34.15,0.9238,65.24,-56.99,1566,759,807,3.102681992337165
M15,13,34,55,1.0,4.0,asian,177,17.51,0.7409,46.92,-36.39,829,20.99,0.9237,67.33,-51.7,1006,481,525,6.200000000000001
M15,8,34,55,1.0,2.0,london,321,36.14,1.0173,18.8,0.49,1573,34.14,0.9232,73.76,-63.86,1894,908,986,3.2169482576557553
M15,8,34,89,1.5,3.0,london,296,27.7,1.0789,16.49,13.9,1512,24.74,0.9228,74.32,-68.23,1808,871,937,14.681858407079645
M15,13,21,89,1.5,3.0,newyork,206,25.73,1.0078,24.27,-1.87,1042,24.47,0.9226,61.03,-54.44,1248,612,636,31.519391025641024
M15,5,21,55,1.0,2.0,london,443,37.02,1.0541,18.41,12.29,2241,34.14,0.9224,82.36,-76.84,2684,1346,1338,3.4165052160953797
M15,13,34,89,1.0,4.0,newyork,170,18.82,0.8661,37.82,-20.32,879,19.91,0.9223,58.53,-52.9,1049,503,546,18.327264061010485
M15,13,34,89,1.5,4.0,newyork,170,22.94,1.1607,23.22,19.67,879,18.89,0.922,61.44,-52.21,1049,503,546,37.71897044804575
M15,5,21,55,1.5,3.0,london,443,28.44,1.1178,27.0,37.72,2241,24.72,0.9214,85.12,-82.17,2684,1346,1338,13.865052160953798
M15,13,34,89,1.5,2.0,london,254,35.04,1.0042,16.05,-1.85,1312,33.23,0.9211,61.66,-57.6,1566,759,807,8.818901660280972
M15,8,21,55,1.0,2.0,newyork,249,32.13,0.8666,35.63,-23.13,1246,33.55,0.9209,59.8,-55.97,1495,755,740,10.283411371237458
M15,13,34,55,1.5,4.0,all,544,22.43,1.1026,28.94,39.97,2648,19.56,0.9207,90.57,-89.88,3192,1552,1640,23.20451127819549
M15,5,34,89,1.5,3.0,london,349,30.66,1.2432,21.03,74.75,1757,24.7,0.9206,81.65,-74.4,2106,1022,1084,13.598860398860397
M15,13,21,89,1.5,2.0,london,328,35.67,1.0333,20.02,4.08,1578,33.21,0.9202,67.38,-64.75,1906,932,974,9.006505771248689
M15,5,34,55,1.5,3.0,newyork,248,27.82,1.117,22.66,19.31,1206,24.38,0.9201,67.45,-60.64,1454,714,740,31.660522696011
M15,8,34,89,1.5,2.0,london,296,35.81,1.0387,24.34,4.76,1512,33.2,0.9194,69.08,-63.53,1808,871,937,8.865486725663716
M15,8,34,55,1.5,4.0,all,644,23.45,1.1582,32.1,96.53,3101,19.57,0.9193,93.95,-93.41,3745,1823,1922,22.812710280373828
M15,8,34,89,1.5,2.0,newyork,201,36.82,1.1016,19.51,11.95,1012,32.81,0.9182,51.14,-49.3,1213,583,630,22.63371805441055
M15,8,34,89,1.5,4.0,london,296,23.31,1.146,20.88,32.58,1512,19.31,0.918,78.38,-73.73,1808,871,937,20.311061946902655
M15,5,34,89,1.0,3.0,london,349,28.65,1.0938,26.19,21.45,1757,25.33,0.9179,81.48,-75.97,2106,1022,1084,5.199430199430198
M15,13,21,89,1.0,3.0,london,328,28.05,1.0655,23.69,11.98,1578,25.29,0.9168,77.02,-72.61,1906,932,974,5.389296956977964
M15,5,34,89,1.0,4.0,london,349,24.93,1.2135,18.09,68.25,1757,20.15,0.9166,85.87,-80.01,2106,1022,1084,7.4994301994302
M15,8,34,89,1.5,4.0,newyork,201,23.38,1.1652,21.99,24.56,1012,18.77,0.9164,63.76,-59.27,1213,583,630,38.46455070074196
M15,8,21,55,1.0,4.0,newyork,249,16.87,0.7543,49.57,-44.13,1246,19.74,0.9162,74.74,-67.75,1495,755,740,19.533377926421405
M15,13,21,55,1.0,4.0,newyork,215,16.74,0.7487,44.78,-40.16,1061,19.7,0.9151,69.27,-62.2,1276,638,638,19.5641065830721
M15,13,21,89,1.5,3.0,london,328,29.57,1.1966,20.13,52.08,1578,24.59,0.9148,78.47,-72.69,1906,932,974,14.334417628541448
M15,5,34,89,1.0,2.0,newyork,230,35.65,1.0181,23.88,0.46,1179,33.42,0.9146,68.01,-56.41,1409,692,717,9.863236337828246
M15,13,34,55,1.5,3.0,asian,177,24.29,0.8724,37.03,-18.9,829,25.21,0.9139,60.66,-50.31,1006,481,525,9.8
M15,13,21,55,1.0,3.0,newyork,215,22.33,0.7986,39.95,-32.02,1061,24.79,0.9123,63.5,-59.33,1276,638,638,15.231504702194359
M15,8,34,89,1.0,3.0,london,296,27.03,1.011,27.31,-2.05,1512,25.2,0.9118,78.06,-72.84,1808,871,937,5.281858407079646
M15,8,34,55,1.5,3.0,all,644,28.26,1.1064,29.16,51.26,3101,24.67,0.9117,94.31,-92.85,3745,1823,1922,18.07196261682243
M15,8,34,89,1.5,3.0,newyork,201,27.86,1.1023,21.84,12.97,1012,24.21,0.9115,59.91,-57.34,1213,583,630,31.3
M15,13,21,55,1.0,2.0,newyork,215,30.7,0.812,35.61,-27.15,1061,33.27,0.9104,55.89,-54.1,1276,638,638,10.380956112852665
M15,13,34,55,1.5,3.0,all,544,27.76,1.0803,29.18,27.84,2648,24.62,0.9099,90.95,-89.88,3192,1552,1640,18.182957393483708
M15,8,21,89,1.0,2.0,london,366,35.52,0.9897,27.48,-6.16,1833,33.82,0.9096,85.57,-74.55,2199,1074,1125,3.149931787175989
M15,5,21,89,1.5,4.0,london,424,23.11,1.1631,31.28,58.02,2153,19.32,0.9089,90.74,-87.41,2577,1252,1325,19.49231664726426
M15,13,21,55,1.5,3.0,london,342,27.49,1.0668,25.53,12.73,1670,24.43,0.9085,78.2,-76.72,2012,1014,998,13.91699801192843
M15,13,34,89,1.0,3.0,newyork,170,24.71,0.9148,30.39,-13.09,879,24.69,0.9075,56.89,-54.17,1049,503,546,14.159675881792182
M15,8,34,89,1.0,3.0,newyork,201,26.87,1.023,23.63,0.46,1012,24.7,0.9075,61.33,-59.27,1213,583,630,14.533140972794724
M15,8,21,89,1.5,3.0,all,777,27.41,1.0583,31.08,25.13,3775,24.56,0.9045,98.1,-96.77,4552,2232,2320,17.717069420035152
M15,8,21,55,1.0,3.0,newyork,249,24.5,0.9003,31.79,-20.96,1246,24.64,0.9042,76.22,-67.99,1495,755,740,15.316789297658861
M15,5,34,55,1.5,2.0,london,374,37.97,1.1381,23.67,34.53,1816,32.82,0.9038,77.78,-75.71,2190,1062,1128,8.704931506849315
