tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,5,34,55,1.5,3.0,asian,860,25.58,1.0312,42.95,7.33,4176,26.25,1.0675,59.91,322.67,5036,2463,2573,11.236616362192215
M1,13,21,55,1.0,4.0,asian,3742,21.27,1.0808,64.06,400.98,18167,21.04,1.0668,73.32,35654.89,21909,10918,10991,7.448760783239765
M15,8,21,89,1.5,4.0,asian,307,21.5,1.0954,23.78,18.11,1532,21.02,1.0662,51.36,62.95,1839,882,957,12.667101685698748
M15,5,21,89,1.0,3.0,asian,367,25.89,1.0478,24.44,7.72,1797,26.21,1.0656,42.13,81.38,2164,1044,1120,3.916959334565619
M15,5,34,55,1.0,4.0,asian,303,21.78,1.1139,25.12,22.95,1545,21.04,1.0656,52.91,62.47,1848,903,945,5.067207792207792
M15,5,21,89,1.0,4.0,asian,367,22.07,1.1329,29.0,35.32,1797,21.04,1.0655,56.35,75.77,2164,1044,1120,5.249121996303143
M15,13,34,89,1.0,2.0,asian,206,33.98,1.0294,15.56,1.95,1036,34.75,1.0651,35.19,39.78,1242,612,630,2.6170692431562
M1,13,34,89,1.0,4.0,asian,2721,21.5,1.0955,56.72,337.8,13449,21.01,1.0644,70.53,5959.12,16170,8055,8115,7.2663450834879395
M15,8,21,55,1.5,3.0,asian,318,25.16,1.0084,31.62,-2.69,1665,26.19,1.0643,51.25,70.88,1983,979,1004,8.88018154311649
M1,13,21,55,1.0,3.0,asian,3742,25.76,1.041,72.16,77.69,18167,26.18,1.0642,68.38,34168.47,21909,10918,10991,5.682920261079921
M15,5,21,55,1.0,4.0,asian,377,21.75,1.1119,21.16,28.56,1929,21.0,1.063,49.55,76.42,2306,1148,1158,5.318256721595837
M1,5,21,89,1.0,3.0,asian,4980,26.04,1.0565,78.57,275.23,24103,26.16,1.0628,77.52,179330.06,29083,14469,14614,5.64862978372245
M1,13,21,89,1.0,4.0,asian,3454,21.37,1.0869,62.21,419.75,16984,20.98,1.0628,85.79,14279.62,20438,10153,10285,7.3493003229278795
M1,8,21,55,1.0,3.0,asian,4452,25.67,1.0363,69.24,69.75,21476,26.13,1.0613,77.91,62921.59,25928,12900,13028,5.682829373650108
M1,8,34,89,1.0,4.0,asian,3245,20.71,1.0447,78.26,64.35,15897,20.95,1.0607,85.33,7987.12,19142,9524,9618,7.266095496813289
M5,13,21,55,1.0,4.0,asian,785,20.51,1.0321,43.5,4.41,3717,20.96,1.0606,68.72,178.72,4502,2215,2287,6.6348733896046195
M5,13,34,55,1.0,3.0,asian,621,25.28,1.0151,34.55,-2.24,2980,26.11,1.0599,53.22,137.72,3601,1756,1845,5.231019161344071
M5,13,21,89,1.5,3.0,asian,734,24.52,0.9747,42.84,-21.91,3513,26.1,1.0597,55.51,175.87,4247,2091,2156,11.017282787850247
M15,13,34,55,1.0,3.0,asian,222,28.83,1.2152,19.31,35.5,1115,26.1,1.0595,35.97,37.73,1337,649,688,3.9501869857890797
M15,5,21,55,1.0,2.0,asian,377,36.07,1.1286,9.67,31.13,1929,34.63,1.0595,36.81,74.14,2306,1148,1158,2.6673026886383346
M5,13,21,89,1.5,4.0,asian,734,19.35,0.9595,49.55,-31.65,3513,20.89,1.0569,57.51,138.25,4247,2091,2156,14.541959029903461
M15,13,34,55,1.0,4.0,asian,222,22.52,1.1628,27.34,26.16,1115,20.9,1.0567,40.54,31.53,1337,649,688,5.5
M1,5,34,89,1.0,4.0,asian,3946,20.73,1.046,74.47,90.62,19164,20.88,1.0563,83.07,10352.59,23110,11454,11656,7.331700562527045
M5,13,21,89,1.0,3.0,london,682,25.51,1.0276,36.68,3.84,3355,26.02,1.056,53.31,141.09,4037,1992,2045,11.949318801089918
M5,13,21,89,1.0,4.0,london,682,20.09,1.0055,49.85,-9.9,3355,20.86,1.0558,64.55,122.78,4037,1992,2045,17.229700272479565
M1,13,21,55,1.0,2.0,asian,3742,33.4,1.0032,69.52,-25.33,18167,34.55,1.0556,77.36,11724.34,21909,10918,10991,3.682920261079922
M15,8,21,55,1.0,2.0,london,280,31.07,0.9016,37.69,-19.5,1405,34.52,1.0555,46.01,44.49,1685,839,846,9.483679525222552
M1,8,21,89,1.0,3.0,asian,4164,26.2,1.0651,63.1,291.17,20292,26.03,1.0554,78.73,18662.46,24456,12167,12289,5.58297350343474
M15,8,21,55,1.5,2.0,asian,318,33.65,1.0142,21.79,-0.17,1665,34.53,1.055,34.7,53.98,1983,979,1004,5.8481089258698935
M1,5,21,55,1.0,2.0,asian,5267,33.19,0.9935,79.78,-52.86,25291,34.52,1.0545,74.53,64009.47,30558,15203,15355,3.7827639243405975
M15,5,21,55,1.5,4.0,asian,377,21.49,1.0946,24.75,22.38,1929,20.84,1.0544,56.56,55.27,2306,1148,1158,12.647137901127493
M15,5,34,89,1.0,3.0,asian,289,28.37,1.1884,13.13,40.97,1469,26.0,1.0543,49.78,44.3,1758,852,906,3.6835608646188853
M15,13,21,89,1.5,2.0,asian,264,34.47,1.052,14.9,6.54,1301,34.51,1.054,38.7,38.89,1565,754,811,5.750607028753994
M5,8,34,55,1.0,2.0,asian,732,34.56,1.0564,27.4,21.65,3483,34.51,1.0539,53.42,140.59,4215,2045,2170,3.3305338078291813
M15,8,34,55,1.5,4.0,asian,251,22.71,1.1753,24.21,33.08,1297,20.82,1.0537,34.29,33.38,1548,749,799,12.772932816537468
M15,13,34,89,1.0,4.0,asian,206,23.79,1.2484,14.94,41.05,1036,20.85,1.0537,42.38,25.91,1242,612,630,5.65024154589372
M1,13,34,55,1.0,4.0,asian,2912,21.63,1.1043,53.86,489.55,14437,20.84,1.0536,79.48,2355.88,17349,8656,8693,7.383215170903222
M15,8,21,89,1.5,3.0,asian,307,27.36,1.13,21.43,27.34,1532,25.98,1.0529,55.54,44.39,1839,882,957,8.866612289287657
M5,5,34,89,1.5,4.0,asian,820,21.22,1.0774,38.98,39.36,4056,20.83,1.0526,56.8,138.66,4876,2416,2460,14.803609515996717
M5,13,21,55,1.5,3.0,asian,785,24.2,0.958,48.4,-30.5,3717,25.96,1.052,63.68,137.67,4502,2215,2287,11.06512661039538
M15,13,21,55,1.0,3.0,asian,278,26.62,1.0882,24.4,14.69,1433,25.96,1.0518,37.83,39.44,1711,842,869,3.9675043834015193
M15,5,34,89,1.0,2.0,london,261,36.02,1.1257,18.19,20.09,1329,34.46,1.0517,40.28,37.13,1590,764,826,9.131320754716981
M5,13,34,55,1.5,2.0,asian,621,33.01,0.9856,35.38,-11.43,2980,34.46,1.0517,52.26,103.19,3601,1756,1845,7.9172452096639825
M5,5,34,55,1.0,3.0,asian,860,26.28,1.0694,29.9,36.12,4176,25.96,1.0517,59.08,162.77,5036,2463,2573,5.217077045274027
M1,13,34,89,1.0,3.0,asian,2721,25.73,1.0391,59.42,46.15,13449,25.94,1.0507,65.01,1928.35,16170,8055,8115,5.58317254174397
