tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M1,5,34,55,1.5,4.0,london,4561,20.08,0.8657,99.87,-99.85,22127,19.59,0.8361,100.0,-100.0,26688,13298,13390,17.429099220623502
M1,8,34,55,1.5,4.0,london,3828,20.06,0.8661,99.68,-99.57,18497,19.63,0.8355,100.0,-100.0,22325,11133,11192,17.328533034714447
M1,13,21,55,1.5,4.0,london,4175,19.83,0.8451,99.91,-99.89,19930,19.54,0.831,100.0,-100.0,24105,12036,12069,17.27483924496992
M1,13,34,55,1.5,4.0,london,3219,20.04,0.8649,99.37,-99.02,15785,19.54,0.8307,100.0,-100.0,19004,9474,9530,17.264491685960852
M1,5,21,55,1.5,4.0,london,5817,19.99,0.8535,99.99,-99.99,27942,19.44,0.8288,100.0,-100.0,33759,16856,16903,17.458766551141917
M1,5,21,89,1.5,4.0,london,5517,20.12,0.8644,99.98,-99.96,26645,19.34,0.8223,100.0,-100.0,32162,16044,16118,17.394154592376097
M1,5,34,89,1.5,4.0,london,4389,19.37,0.8227,99.97,-99.97,21030,19.37,0.8215,100.0,-100.0,25419,12618,12801,17.310067272512686
M1,8,34,89,1.5,4.0,london,3655,19.04,0.8058,99.95,-99.93,17406,19.44,0.8214,100.0,-100.0,21061,10467,10594,17.191747780257344
M1,8,21,55,1.5,4.0,london,4953,19.6,0.8336,99.99,-99.98,23677,19.31,0.8203,100.0,-100.0,28630,14274,14356,17.29239958085924
M1,5,34,55,1.5,3.0,london,4561,25.37,0.827,99.96,-99.95,22127,25.43,0.8202,100.0,-100.0,26688,13298,13390,13.380369454436451
M1,8,34,55,1.5,3.0,london,3828,25.24,0.8221,99.89,-99.85,18497,25.43,0.8189,100.0,-100.0,22325,11133,11192,13.279973124300113
M1,13,21,89,1.5,4.0,london,3874,20.21,0.8694,99.66,-99.55,18642,19.36,0.8187,100.0,-100.0,22516,11196,11320,17.14515011547344
M1,13,34,89,1.5,4.0,london,3047,19.1,0.8065,99.86,-99.77,14695,19.31,0.8161,100.0,-100.0,17742,8838,8904,17.14543456205614
M1,13,34,55,1.5,3.0,london,3219,25.44,0.8313,99.67,-99.45,15785,25.3,0.8137,100.0,-100.0,19004,9474,9530,13.215307303725533
M1,8,21,89,1.5,4.0,london,4653,19.77,0.8467,99.96,-99.94,22384,19.15,0.8099,100.0,-100.0,27037,13454,13583,17.162322003180826
M1,5,21,89,1.5,3.0,london,5517,25.58,0.8399,99.99,-99.98,26645,25.15,0.8091,100.0,-100.0,32162,16044,16118,13.362769728250731
M1,13,21,55,1.5,3.0,london,4175,24.91,0.8106,99.96,-99.95,19930,25.13,0.8077,100.0,-100.0,24105,12036,12069,13.326799419207633
M1,5,21,55,1.5,3.0,london,5817,25.31,0.8279,99.99,-99.99,27942,25.1,0.8073,100.0,-100.0,33759,16856,16903,13.510459433040078
M1,5,34,89,1.5,3.0,london,4389,24.72,0.7994,99.98,-99.98,21030,25.15,0.807,100.0,-100.0,25419,12618,12801,13.261867107281955
M1,8,34,89,1.5,3.0,london,3655,24.43,0.788,99.95,-99.94,17406,25.14,0.8051,100.0,-100.0,21061,10467,10594,13.178519538483455
M1,13,21,89,1.5,3.0,london,3874,25.19,0.8224,99.89,-99.86,18642,25.09,0.8051,100.0,-100.0,22516,11196,11320,13.231177829099307
M1,13,34,89,1.5,3.0,london,3047,24.71,0.8002,99.83,-99.7,14695,24.98,0.7992,100.0,-100.0,17742,8838,8904,13.096956374704092
M1,8,21,55,1.5,3.0,london,4953,24.89,0.809,99.99,-99.99,23677,24.88,0.7977,100.0,-100.0,28630,14274,14356,13.409699615787636
M1,8,21,89,1.5,3.0,london,4653,25.17,0.82,99.97,-99.97,22384,24.83,0.7952,100.0,-100.0,27037,13454,13583,13.296741502385622
M1,13,34,89,1.5,4.0,newyork,2683,16.51,0.6961,99.98,-99.98,12068,18.31,0.7821,100.0,-100.0,14751,7413,7338,20.081736831401262
M1,8,34,89,1.5,4.0,newyork,3222,16.98,0.7121,99.99,-99.99,14459,18.33,0.7801,100.0,-100.0,17681,8905,8776,20.14487868333239
M1,13,21,55,1.5,2.0,london,4175,32.65,0.7589,99.98,-99.98,19930,33.75,0.7786,100.0,-100.0,24105,12036,12069,8.94803982576229
M1,5,34,55,1.5,2.0,london,4561,33.55,0.7891,99.97,-99.96,22127,33.71,0.7781,100.0,-100.0,26688,13298,13390,9.031639688249399
M1,8,34,55,1.5,2.0,london,3828,33.07,0.7731,99.93,-99.92,18497,33.71,0.7769,100.0,-100.0,22325,11133,11192,8.948559910414334
M1,8,34,55,1.5,4.0,newyork,3439,17.27,0.7389,99.99,-99.99,15452,18.06,0.7766,100.0,-100.0,18891,9497,9394,20.281546768302366
M1,5,21,55,1.5,2.0,london,5817,32.94,0.7688,100.0,-100.0,27942,33.67,0.7765,100.0,-100.0,33759,16856,16903,9.03107615746912
M1,13,34,55,1.5,4.0,newyork,2901,16.72,0.7177,99.98,-99.98,13064,18.01,0.7756,100.0,-100.0,15965,8012,7953,20.236461008455997
M1,13,21,55,1.5,4.0,newyork,3703,16.69,0.7086,100.0,-100.0,16780,18.04,0.7753,100.0,-100.0,20483,10274,10209,20.23729434164917
M1,5,34,89,1.5,4.0,newyork,3836,17.15,0.7267,100.0,-100.0,17440,18.0,0.7713,100.0,-100.0,21276,10683,10593,20.301673246850914
