tf,fast_ema,mid_ema,slow_ema,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M5,13,34,89,1.5,3.0,asian,580,25.52,1.0278,32.39,3.35,2863,25.6,1.0324,46.95,29.61,3443,1706,1737,11.401074644205636
M5,5,34,89,1.5,3.0,asian,820,26.46,1.0796,33.97,42.46,4056,25.59,1.0318,58.98,41.92,4876,2416,2460,11.234536505332239
M5,13,34,89,1.5,4.0,asian,580,20.69,1.0435,41.98,8.69,2863,20.5,1.0316,54.86,15.95,3443,1706,1737,15.10214928841127
M5,5,34,55,1.5,2.0,asian,860,34.53,1.0551,29.89,24.99,4176,34.03,1.0316,56.39,56.97,5036,2463,2573,7.7512311358220805
M5,13,34,89,1.0,2.0,london,515,31.65,0.9261,37.26,-26.65,2628,33.94,1.0282,48.24,25.43,3143,1557,1586,7.418071905822463
M5,13,21,89,1.5,2.0,london,682,34.6,1.0583,25.73,21.04,3355,33.89,1.0262,42.99,27.64,4037,1992,2045,19.28174386920981
M5,5,34,89,1.0,2.0,asian,820,36.1,1.1298,26.49,81.34,4056,33.85,1.0235,68.67,25.1,4876,2416,2460,3.5
M5,8,21,55,1.5,4.0,asian,933,19.08,0.943,57.28,-45.49,4439,20.36,1.0235,71.63,-5.1,5372,2678,2694,14.491046165301565
M5,8,34,89,1.5,4.0,asian,690,20.43,1.0273,48.68,1.26,3366,20.35,1.022,56.97,-7.57,4056,2001,2055,14.674260355029586
M5,8,34,89,1.5,3.0,asian,690,25.94,1.0509,43.91,16.8,3366,25.4,1.0215,58.06,3.71,4056,2001,2055,11.134023668639053
M5,5,21,55,1.0,4.0,asian,1104,20.56,1.0353,68.6,9.3,5291,20.34,1.0211,81.32,-14.84,6395,3210,3185,6.700000000000001
M5,13,21,55,1.0,2.0,asian,785,36.31,1.14,40.59,85.63,3717,33.79,1.0207,49.63,14.82,4502,2215,2287,3.48256330519769
M5,8,21,55,1.0,4.0,asian,933,20.58,1.0364,57.48,8.66,4439,20.32,1.0201,78.18,-15.71,5372,2678,2694,6.6
M5,13,21,89,1.0,2.0,london,682,35.04,1.079,32.73,32.38,3355,33.74,1.0189,54.97,8.84,4037,1992,2045,7.1000000000000005
M5,8,21,89,1.5,3.0,asian,884,24.89,0.994,44.54,-15.67,4232,25.33,1.0177,60.92,-6.95,5116,2562,2554,10.982720875684128
M5,13,21,55,1.0,3.0,asian,785,25.99,1.0534,44.67,21.02,3717,25.32,1.0169,71.99,-8.14,4502,2215,2287,5.1348733896046195
M5,8,21,55,1.5,3.0,asian,933,24.65,0.9815,51.42,-23.42,4439,25.3,1.016,74.32,-12.4,5372,2678,2694,11.013160833953835
M5,8,21,55,1.5,2.0,asian,933,32.26,0.9525,47.27,-32.38,4439,33.66,1.0146,73.47,-1.3,5372,2678,2694,7.7
M5,8,21,89,1.0,3.0,asian,884,25.79,1.0427,48.64,15.76,4232,25.26,1.0139,66.0,-17.37,5116,2562,2554,5.0654417513682555
